datetime,option_type,expiration_order,skewness
2015-03-09,沽,1.0,0.009027029991829572
2015-03-09,沽,2.0,0.07376044148723698
2015-03-09,沽,3.0,0.03282679633846953
2015-03-09,购,0.0,0.38404503541817536
2015-03-09,购,1.0,0.5110946487190977
2015-03-09,购,2.0,0.19369308245453998
2015-03-09,购,3.0,0.20963557121817328
2015-03-10,沽,0.0,0.19799292196028642
2015-03-10,沽,1.0,-0.06200789194144071
2015-03-10,沽,2.0,-0.11938065504752353
2015-03-10,沽,3.0,-0.047090008019727944
2015-03-10,购,0.0,-0.06880408014176241
2015-03-10,购,1.0,0.032448193368842075
2015-03-10,购,2.0,0.016168753281308224
2015-03-10,购,3.0,0.13631296809906795
2015-03-11,沽,0.0,0.24436947391834626
2015-03-11,沽,1.0,0.15734017236326484
2015-03-11,沽,2.0,0.10691071184920649
2015-03-11,沽,3.0,0.08533294985457847
2015-03-11,购,0.0,0.2718259433255262
2015-03-11,购,1.0,0.15955047539873493
2015-03-11,购,2.0,0.19272451074160235
2015-03-11,购,3.0,0.13969751463128066
2015-03-12,沽,0.0,-0.32590637704187164
2015-03-12,沽,1.0,-0.10354528623572684
2015-03-12,沽,2.0,0.009646783923533723
2015-03-12,沽,3.0,-0.00342735488586351
2015-03-12,购,0.0,0.2039832757996675
2015-03-12,购,1.0,0.38225954731479267
2015-03-12,购,2.0,0.2654584466175539
2015-03-12,购,3.0,0.40451138721056346
2015-03-13,沽,0.0,-0.3028512089544318
2015-03-13,沽,1.0,-0.03958409678086283
2015-03-13,沽,2.0,0.03512857453282874
2015-03-13,沽,3.0,0.02111789963276272
2015-03-13,购,0.0,0.16956641993263585
2015-03-13,购,1.0,0.3334910502845858
2015-03-13,购,2.0,0.2496875412470694
2015-03-13,购,3.0,0.19412842597672955
2015-03-16,沽,0.0,-0.49218550399505234
2015-03-16,沽,1.0,-0.06633626683522671
2015-03-16,沽,2.0,0.048719216057053975
2015-03-16,沽,3.0,0.03344887454920732
2015-03-16,购,0.0,0.1849709772010083
2015-03-16,购,1.0,0.556598863173471
2015-03-16,购,2.0,0.5330180984615642
2015-03-16,购,3.0,0.5163724550943529
2015-03-17,沽,0.0,-0.5191793237752682
2015-03-17,沽,1.0,-0.02294811004289534
2015-03-17,沽,2.0,0.02019041574626791
2015-03-17,沽,3.0,0.11818308410986375
2015-03-17,购,0.0,0.38733962722820087
2015-03-17,购,1.0,0.6822530246597789
2015-03-17,购,2.0,0.6905513399866493
2015-03-17,购,3.0,0.5551563503152467
2015-03-18,沽,0.0,-1.116554215194619
2015-03-18,沽,1.0,-0.0595330935715525
2015-03-18,沽,2.0,0.1062460137453149
2015-03-18,沽,3.0,0.06388148026485553
2015-03-18,购,0.0,0.43610780248560127
2015-03-18,购,1.0,0.6250734325653098
2015-03-18,购,2.0,0.5491618503963461
2015-03-18,购,3.0,0.48645243772743213
2015-03-19,沽,0.0,-0.7075985701183559
2015-03-19,沽,1.0,-0.13729819831215068
2015-03-19,沽,2.0,0.0016427741416639057
2015-03-19,沽,3.0,0.08218985259869023
2015-03-19,购,0.0,-1.0953780670132784
2015-03-19,购,1.0,-0.6812411527472755
2015-03-19,购,2.0,-0.5076859537978895
2015-03-19,购,3.0,-0.5427456589960952
2015-03-20,沽,0.0,-1.4443770863521226
2015-03-20,沽,1.0,-0.1432097786139667
2015-03-20,沽,2.0,0.044657029527572584
2015-03-20,沽,3.0,0.09376726508042328
2015-03-20,购,0.0,0.22881148082008737
2015-03-20,购,1.0,0.42567479484264054
2015-03-20,购,2.0,0.2701382118305757
2015-03-20,购,3.0,0.3401257631374085
2015-03-23,沽,0.0,-1.9982446420257864
2015-03-23,沽,1.0,-0.07224023013002197
2015-03-23,沽,2.0,0.02173163238564857
2015-03-23,沽,3.0,0.1043222116949619
2015-03-23,购,0.0,-3.041245912077215
2015-03-23,购,1.0,-2.4474826516074524
2015-03-23,购,2.0,-2.487792450841447
2015-03-23,购,3.0,-2.4578338189461775
2015-03-24,沽,0.0,-1.442493753496826
2015-03-24,沽,1.0,-0.08379162954857453
2015-03-24,沽,2.0,0.05604475293948889
2015-03-24,沽,3.0,0.13566425904924406
2015-03-24,购,0.0,-2.9331620481094656
2015-03-24,购,1.0,-2.3973357392672305
2015-03-24,购,2.0,-2.4569857759015803
2015-03-24,购,3.0,-2.470303862265748
2015-03-25,沽,0.0,0.557595964133447
2015-03-25,沽,1.0,0.012939091028643936
2015-03-25,沽,2.0,0.0048537660497722165
2015-03-25,沽,3.0,0.08647286172911656
2015-03-25,购,0.0,-0.18765297793833097
2015-03-25,购,1.0,-0.10285209481291815
2015-03-25,购,2.0,0.16459138901835504
2015-03-25,购,3.0,-0.06609130411609675
2015-03-26,沽,0.0,0.08396457501299776
2015-03-26,沽,1.0,0.08885730368638273
2015-03-26,沽,2.0,0.15080080573748622
2015-03-26,沽,3.0,0.07531200460169479
2015-03-26,购,0.0,-0.5489436661554884
2015-03-26,购,1.0,-0.36739005835360533
2015-03-26,购,2.0,-0.779917962452497
2015-03-26,购,3.0,0.31974737614148685
2015-03-27,沽,0.0,-0.014194337758355949
2015-03-27,沽,1.0,0.13370314567127523
2015-03-27,沽,2.0,0.17324257674204993
2015-03-27,沽,3.0,0.12904724610470966
2015-03-27,购,0.0,0.7311938732112151
2015-03-27,购,1.0,0.6755617940861365
2015-03-27,购,2.0,0.6287874447861412
2015-03-27,购,3.0,0.1465898322841941
2015-03-30,沽,0.0,-0.059409945121395864
2015-03-30,沽,1.0,0.11458069637899305
2015-03-30,沽,2.0,0.13695076550887303
2015-03-30,沽,3.0,0.042095934918735124
2015-03-30,购,0.0,0.5355151653560221
2015-03-30,购,1.0,0.46504089988619945
2015-03-30,购,2.0,0.3206855973818605
2015-03-30,购,3.0,0.5384750917315967
2015-03-31,沽,0.0,-0.06251656463806138
2015-03-31,沽,1.0,0.12465366321595205
2015-03-31,沽,2.0,0.0590344182070537
2015-03-31,沽,3.0,0.20206644218656436
2015-03-31,购,0.0,-0.022218916569631642
2015-03-31,购,1.0,0.269483369695335
2015-03-31,购,2.0,-0.30026712925263405
2015-03-31,购,3.0,0.16649960256560806
2015-04-01,沽,0.0,-0.04188534951945785
2015-04-01,沽,1.0,0.15866908710731292
2015-04-01,沽,2.0,0.14273666534002122
2015-04-01,沽,3.0,0.22665491419462117
2015-04-01,购,0.0,0.32139324750608705
2015-04-01,购,1.0,0.20997595476220088
2015-04-01,购,2.0,0.23082760480494044
2015-04-01,购,3.0,0.10755157177439346
2015-04-02,沽,0.0,-0.048766780329826856
2015-04-02,沽,1.0,0.1830089957906765
2015-04-02,沽,2.0,0.1270968376005499
2015-04-02,沽,3.0,0.09129090025586406
2015-04-02,购,0.0,0.56190424656186
2015-04-02,购,1.0,0.30037349710757666
2015-04-02,购,2.0,0.2632985407539924
2015-04-02,购,3.0,0.21375395621574309
2015-04-03,沽,0.0,-0.029153709972696673
2015-04-03,沽,1.0,0.14006386826707878
2015-04-03,沽,2.0,0.17261142203967714
2015-04-03,沽,3.0,0.08938734100653589
2015-04-03,购,0.0,0.2248778243353217
2015-04-03,购,1.0,0.21238914472737497
2015-04-03,购,2.0,0.23973258813095374
2015-04-03,购,3.0,0.5334689296061761
2015-04-07,沽,0.0,-0.24655110857583257
2015-04-07,沽,1.0,0.05891930527992849
2015-04-07,沽,2.0,0.2603180283736462
2015-04-07,沽,3.0,0.12828387159660962
2015-04-07,购,0.0,-0.9077051353236297
2015-04-07,购,1.0,-0.5607791790343631
2015-04-07,购,2.0,-0.5246054597539968
2015-04-07,购,3.0,0.5001575512344217
2015-04-08,沽,0.0,-0.327294484890586
2015-04-08,沽,1.0,0.04540045273321104
2015-04-08,沽,2.0,0.13610752835275958
2015-04-08,沽,3.0,0.20924938550207628
2015-04-08,购,0.0,0.14141469563776216
2015-04-08,购,1.0,0.24976990292432613
2015-04-08,购,2.0,0.03760204206295913
2015-04-08,购,3.0,0.549927005836315
2015-04-09,沽,0.0,-0.34550802564997823
2015-04-09,沽,1.0,-0.03335772984084291
2015-04-09,沽,2.0,0.11094649477710815
2015-04-09,沽,3.0,0.1764963529784337
2015-04-09,购,0.0,-1.8291687247175226
2015-04-09,购,1.0,-0.30399956087392876
2015-04-09,购,2.0,0.11906198270413891
2015-04-09,购,3.0,-0.12380390273416522
2015-04-10,沽,0.0,-0.6872052280115143
2015-04-10,沽,1.0,0.011374225034112383
2015-04-10,沽,2.0,0.18719530426199404
2015-04-10,沽,3.0,0.21244608895531955
2015-04-10,购,0.0,-1.159374551976877
2015-04-10,购,1.0,-0.5285789996370345
2015-04-10,购,2.0,-0.45591757154122464
2015-04-10,购,3.0,0.35654084625505866
2015-04-13,沽,0.0,-0.7683168208493428
