trading_days_to_expiration,strike_price_order,0
15,6,0.1827154592034759
15,5,0.16704607437190078
15,4,0.1536093186409412
15,3,0.14588982601462291
15,2,0.14092494066039335
15,1,0.13185123016619663
15,-1,0.12137769196378934
15,-2,0.11009156101845623
15,-3,
15,0,0.12878250326086013
15,-5,
15,-4,
35,-4,
35,5,0.14820385942845452
35,4,0.13937971035772384
35,3,0.1410412379860689
35,2,0.13994215978691785
35,1,0.1398517900348873
35,0,0.13761589050137593
35,-1,0.13457044088171707
35,-2,0.12888786765645244
35,-3,0.1141290197315628
60,6,0.16103125004844845
60,5,0.15725005994895733
60,4,0.1508810251166746
60,3,0.14683226766896015
60,7,0.16877262506898308
60,8,0.17577944539354112
60,9,0.18481288836061888
60,10,0.20213201667002056
60,-3,0.12321147210748086
60,-2,0.12911130216540423
60,-1,0.137697814582704
60,0,0.1409958084196836
60,1,0.14258922458045728
60,2,0.14404727724385236
60,-4,
60,-5,
119,-3,
119,-4,
119,6,0.14234674538345582
119,5,0.1372758948311838
119,-6,
119,-5,
119,-2,0.08201563892143661
119,-1,0.10366850229801289
119,0,0.11239765933930937
119,1,0.119622440289626
119,2,0.12464353741796665
119,4,0.1336544327996051
119,3,0.1289148561405718
