trading_days_to_expiration,strike_price_order,0
16,3,0.13438445256328002
16,-7,
16,0,0.1104055382167616
16,-2,0.09752598172313837
16,-6,
16,-8,
16,-9,
16,-10,
16,-12,
16,-5,
16,-3,
16,-4,
16,1,0.10997335024811887
16,-1,0.1002472128358698
16,-11,
16,2,0.12223974772142639
36,-4,
36,-3,
36,-2,
36,0,0.10733739162755837
36,2,0.1249446227441112
36,-1,0.09437612949719343
36,1,0.11252248991665223
81,-6,
81,1,0.10323240269278597
81,0,0.09428240993674303
81,2,0.10917823968746583
81,-1,0.07981105225094456
81,-2,
81,-3,
81,-4,
81,-5,
141,-7,
141,-1,
141,-2,
141,-3,
141,-4,
141,-5,
141,-6,
141,0,0.061387515328732475
141,1,0.07617680740332308
