trading_days_to_expiration,strike_price_order,0
3,-3,
3,1,0.11794602302661367
3,0,
3,-1,
3,-2,
3,2,0.16122978472102556
3,-4,
23,1,0.11035378867011927
23,-5,
23,-4,
23,-3,
23,-2,
23,-1,0.0769454003687366
23,0,0.09650979461063448
48,-9,
48,-8,
48,-2,
48,-3,
48,-4,
48,-5,
48,-6,
48,-7,
48,-1,
48,0,0.059172632847155224
48,1,0.0811535360031081
102,1,0.07374730949502475
102,0,0.05489669461097902
102,-4,
102,-1,
102,-2,
102,-3,
102,-5,
102,-6,
