trading_days_to_expiration,strike_price_order,0
11,5,0.1798819134977654
11,-5,
11,-4,
11,-3,
11,-2,
11,-1,0.11434865754118745
11,0,0.11388471429980533
11,1,0.12011964271394077
11,2,0.12699068227283836
11,3,0.14384143883415737
11,4,0.1650068307491906
11,-6,
35,9,0.14813560372705645
35,7,0.143579598828942
35,-1,0.12576775235098261
35,-3,0.12049834094765155
35,-5,0.10628859848242789
35,-7,
35,-9,
35,-11,
35,8,0.14347317594836467
35,6,0.1383785105450251
35,4,0.13441432002539147
35,2,0.12991053848186687
35,0,0.1289905945397804
35,-2,0.12423478408562674
35,-4,0.1143051073718204
35,-6,
35,-8,
35,-10,
35,-12,
35,1,0.13042068290261957
35,3,0.13309355755120078
35,-16,
35,-15,
35,-14,
35,-13,
35,5,0.13614831821541618
98,4,0.14549295454724384
98,3,0.14278200193276255
98,-10,
98,1,0.13583134127467092
98,2,0.13921014890334824
98,-1,0.1285405911428761
98,-2,0.12322249321946585
98,-3,0.11309156013447867
98,-4,0.09545339556372306
98,-5,
98,-6,
98,-7,
98,-8,
98,-9,
98,0,0.13275792232234648
158,-4,0.1041454038908013
158,2,0.13986666257683908
158,-1,0.12984542591661752
158,0,0.13387332048077874
158,-2,0.1230394109941364
158,-3,0.11453241487989055
158,-5,
158,1,0.13706732714594969
158,3,0.14283107078225551
158,4,0.14447122732987297
158,-6,
