trading_days_to_expiration,strike_price_order,0
17,-2,
17,0,0.09379235840272393
17,-1,
17,-3,
17,-4,
17,1,0.11515449908245755
17,2,0.13118111696761597
42,1,0.08460578785068733
42,-2,
42,-7,
42,-6,
42,-5,
42,-4,
42,-3,
42,-8,
42,-9,
42,-1,
42,0,0.06362830407880174
96,1,0.08294610043805116
96,0,0.06700723268078672
96,-1,0.029347510625820375
96,-3,
96,-4,
96,-5,
96,-6,
96,-2,
161,-4,
161,-3,
161,-2,
161,-1,0.036211974537015176
161,0,0.0681110375711408
