trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12,0.2847185515125437,0.23975542044924303,0.2197095127332345,0.21850028643853148,0.217432889076717,0.21425213208015598,0.21782171355491345,0.2226868936419764,0.2317948860178773,0.24203615903278647,0.2523289081787876,0.2685289294378949,0.2799625698885257,0.29608528203379564,0.3192006679364707,0.34689573610303465,0.3725870598815623,0.3973000400234449,0.40634989742228805,0.4416938339177449,0.4445836694548025,0.45447198488669943,0.2909254347676411,0.29606217758769715,0.3032664335882333
27,0.3141910389712219,0.2844160051074971,0.2679152470773783,0.25695056501674374,0.2429745565909505,0.2521576242529897,0.2582186834392722,0.27221960183680466,0.2910228896410085,0.30995086204451594,0.3293320446068331,0.3607425752064951,0.26949989460907564,0.2789925211518254,0.2938318001755991,0.31030973524804234,0.32544922775466373,0.3417706370641678,0.3482166966867347,0.37051742752655087,0.3755370538941939,0.3866032509013589,0.3102313015393579,0.31835641487418553,0.3263812068147363
47,0.29114878854007603,0.2815626227193526,0.2655791590871496,0.25779314842300177,0.256348838627204,0.2540822273514121,0.2551545253798517,0.25312306927657985,0.254898590884576,0.2544512986671008,0.2562953123233286,0.2556271166626264,0.25903721932962553,0.26189976026985506,0.2684629324147276,0.27372373439305003,0.27831139562776513,0.2862412341048908,0.2900834959511814,0.2993410211353568,0.30649043833358536,0.31873451691601834,0.32953716831107477,0.340650652160674,0.34949598004123933
107,0.2667081230694872,0.261335619170387,0.25797842874252597,0.2525387874200395,0.25533397752401293,0.2521257755722067,0.2526700412462488,0.24808138165443103,0.2497478407393317,0.24944785103264128,0.2570148740757487,0.24843818596797462,0.25284660065074516,0.2528721233050163,0.254442457870335,0.25597556832780827,0.25944267956781836,0.2600620765186666,0.2648622254072671,0.2662524299420091,0.27023044697514864,0.27161956799592424,0.2737679403012087,0.2801516603617303,0.34949598004123933
