trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
5,0.3998811161607405,0.42156315559317736,0.3641684286950154,0.32018790976508815,0.26702900918971995,0.21827386900604187,0.20201164527331522,0.1784534641471476,0.16668080380578737,0.15230897434661003,0.15902569741620387,0.1688801867386292,0.20225680594585904,0.21843061976628877,0.2367060428417956,0.258343077581921,0.3128551991835988,0.35484063678630823,0.389016687825405,0.43314648960826685,0.46721434308792276,0.5065201918176723,0.5689830356675183,0.5873429628464755,0.6281108774370406,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797
29,0.2701701632265186,0.24930719710439242,0.2515780099604602,0.21676722726247588,0.20778737952475598,0.20221794980585953,0.18845111957274335,0.18275948840502396,0.18215809605601635,0.17629671215598974,0.1753193179865475,0.17776644975568281,0.17887258112933574,0.18229881696499492,0.1892549754001457,0.20209077235422604,0.2103553915752153,0.22177619445790242,0.23285527441225018,0.24852743308079148,0.3514269958569084,0.37598474552807826,0.41042294577861393,0.5975349414941168,0.6384476574642004,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797
64,0.2459844069010842,0.2403361051770794,0.2316716245505006,0.24092411812764766,0.21890636234433497,0.2167957246749851,0.21220256203404775,0.2081904044000931,0.20520141616603318,0.20244656009869605,0.20229645047716036,0.201349836433015,0.20302485486344027,0.20374868377122787,0.20594679512556124,0.20818824238814787,0.21306284035199038,0.2162318527877446,0.22163142687967183,0.2294438554553305,0.235639648625894,0.2454492992384843,0.25186285588970964,0.6077269201417581,0.6487844374913602,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797
124,0.33377378124713075,0.2559763277212503,0.24671018479865692,0.23348547099049033,0.23201883036323412,0.22850426268085552,0.2282431195451786,0.22590664393516363,0.22140810060959024,0.2223567215744156,0.21966589564762493,0.2195913869503826,0.2182719004142784,0.21764143925639248,0.21668569735523371,0.21750585783190782,0.21613774127641636,0.2159778787250472,0.21565553987238187,0.21798467126623536,0.21823169433831455,0.21939375699303215,0.22119781481887066,0.6179188987893993,0.6591212175185199,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797,0.6694579975456797
