trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
11,0.3977876042658936,0.3597357139594907,0.31079313451152535,0.2414943673771595,0.2114240929716945,0.20560498998247476,0.20158720713297482,0.2048543419164525,0.20931435543658344,0.21283690635905628,0.23161453329248063,0.2514372806024326,0.2748439848707485,0.29755935146978796,0.3300026927984935,0.23869602650567362,0.23833137078389338,0.23984715845169843,0.2509711183280694,0.2630708978583256,0.2801744253486228,0.297752761798085
36,0.2951512369586697,0.24868627148867553,0.2541403018402807,0.2347500001310485,0.22704232992312834,0.22233724109163971,0.22027870511093212,0.2190800572170044,0.21655901605066907,0.21689689619735947,0.21646520892655216,0.23768954004949186,0.25028484359490694,0.2626025885159967,0.28094899446153904,0.2377651357802298,0.2385794753887727,0.2434975117888741,0.2528827449290792,0.2672091610224439,0.2845879259296531,0.30212842944178586
55,0.31667939595894334,0.2873609602188551,0.26877926919242945,0.260022914468159,0.24425094914613138,0.23413490268790088,0.22961580699834958,0.22724698084045372,0.22589128432910627,0.2243891848487167,0.22498226270194122,0.22394179949655113,0.22572570231906539,0.22764582556220553,0.23189529612458457,0.236834245054786,0.23882757999365198,0.24714786512604975,0.254794371530089,0.2713474241865622,0.2890014265106834,0.30650409708548665
115,0.33820755495921706,0.29907704736519025,0.3235551105715362,0.3071894939972411,0.29156511377158845,0.28077597892630424,0.269277518203326,0.2663237642437674,0.2616712964035298,0.2568043398122349,0.2531107160509729,0.250094581700241,0.24654067908407543,0.24294595445700023,0.23962691723111743,0.2380832661790141,0.2361968051145228,0.24905949172705955,0.2589326346942073,0.2757609247675925,0.2933770941543842,0.30650409708548665
