trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7,0.4104429240447445,0.37615152788385364,0.34186334172587346,0.34487962937959565,0.32747098068886743,0.32372102443314,0.3279983508976742,0.3230229295223261,0.3307154838859502,0.3478982314808989,0.37291424391485656,0.4170275150284238,0.4260278502687838,0.48310006649407217,0.45904604458660486,0.4986361971848085,0.5744723503089467,0.6176799725509456,0.6215437519070688
31,0.41930952004244393,0.42370041788474877,0.4213673926409029,0.4018144973004229,0.40242767369619487,0.4082155713432691,0.399075012181265,0.39872028061592196,0.3973768555058451,0.40028370712295097,0.4078111616791481,0.4019332707164225,0.4113487668403993,0.4380005225117992,0.4231229288265972,0.44515714971491593,0.4823790203119447,0.51221482701515,0.5139745267937949
50,0.41361920690622256,0.41931386159587736,0.4210206120050769,0.3928655675597142,0.399496826667329,0.3981731194570515,0.38074375595919513,0.39242270862613987,0.3808861441118461,0.39406163542442524,0.39145016876764743,0.39549798166970834,0.40025114588150584,0.3929009785295262,0.3871998130665895,0.3916781022450234,0.3902856903149427,0.40674968147935425,0.4064053016805209
113,0.37531000654790453,0.37481174914328685,0.34843091374360136,0.36711464033772745,0.36651431039559906,0.345766704667775,0.3546700720229967,0.36172421420180884,0.3500172725284965,0.34537492994156893,0.3489793033053127,0.3573899354848647,0.35475653510246646,0.3459782930309677,0.3477704478351188,0.3512153815224251,0.3424036845493236,0.3474189255678108,0.3474545489159367
