trading_days_to_expiration,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
14,0.6008886249951342,0.5306818567304473,0.4604750884657604,0.41722220411169847,0.3588156616659348,0.29655970403900445,0.2719807769502744,0.25141174900212293,0.2486601011097492,0.22863595352450325,0.22614783496313726,0.21540324832732638,0.21205069525163325,0.20946971941450962,0.20502924779432863,0.20171162609939405,0.20173766528826131,0.2023914078594312,0.20201206964504356,0.20870539857276027,0.20971703969639977,0.21269892471420976,0.21898314911133238,0.2203865041713575,0.23820460439381488,0.226111384176026,0.24888348378856368,0.25767647051513726,0.2830122607538084,0.29078417400924284,0.2996447338282208,0.3437158546661815,0.3659222266215757,0.35888187390903253,0.24009556454879424
30,0.5833369329289625,0.5131301646642756,0.4496618673772449,0.40262056850025757,0.30713168099067084,0.2642362488147176,0.2502120929513797,0.2440354086440928,0.2307363730015999,0.21589165036930202,0.22317644874937445,0.22092779778255678,0.2117868627315975,0.21560863322195706,0.21479938369743934,0.21084503577355548,0.211395662650411,0.2129135211130333,0.21533292377918611,0.21447309071822399,0.21807218462462183,0.2178349437540369,0.2254857700453525,0.21770958191741818,0.2302677102814132,0.2313779672053279,0.23711840485534807,0.24296775559761039,0.24805810124137936,0.25899646739709353,0.266799838767436,0.29032151061724987,0.304490732536462,0.310323809742717,0.2412010459405024
68,0.5657852408627907,0.49557847259810384,0.43884864628872944,0.3880189328888166,0.25544770031540687,0.23191279359043074,0.22844340895248494,0.23665906828606265,0.22404097822359956,0.22613568003426263,0.2297686795647652,0.22569850972816924,0.22740482210038945,0.22716325094411327,0.22446536036878473,0.22207911377149542,0.22241477909102547,0.22277490216457999,0.22168929599288226,0.22106010449624314,0.2207367835116664,0.22163581495890175,0.22361669125987244,0.2214801753414835,0.2232554023235381,0.2231359416189518,0.22488793782152824,0.22558461986782785,0.22746962932963846,0.22984001320915454,0.23395494370665124,0.2369271665683183,0.24305923845134833,0.2617657455764015,0.24230652733221053
132,0.548233548796619,0.47802678053193215,0.428035425200214,0.3734172972773757,0.27600370217720566,0.2519467852703526,0.23992757897730393,0.24265958469790594,0.2263384658740514,0.23745510660474842,0.23599505670957976,0.229699474268189,0.22815036072893724,0.22870099042611766,0.22800744747485524,0.2288450433810346,0.23273203559182393,0.2312621209942732,0.22644151464168263,0.22982850237365737,0.23164967372958875,0.22736942220295736,0.2280248404423942,0.23054173360170063,0.230853989328618,0.22954410789368998,0.229859824282109,0.23224504108615765,0.22980490303797166,0.22804184504713568,0.2292884348340104,0.23396550693382384,0.23789062025603064,0.23899008315708611,0.24341200872391866
