trading_days_to_expiration,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
12,0.49877049768194615,0.4607004247133773,0.46573060389875565,0.47791356512109995,0.47707613573829993,0.4913746674977539,0.4918806340983508,0.5227362915451033,0.5299437098919149,0.5220641127839182,0.5152691410266567,0.5429588273385842,0.5390471171608532,0.5481767918979081,0.5691677313557467,0.5784403480628466,0.5896066069181904,0.6346189373262119,0.6557157721900058,0.6741616091465212,0.6886444588400902,0.3999651147983304,0.4169692123509491
32,0.4862915443018708,0.4772596768406052,0.47687966924822234,0.4635733535751682,0.47755561849270983,0.48321446556044756,0.478736014611307,0.4649174220226766,0.45669154399560663,0.4631295769746113,0.45087771545097755,0.47156555580017634,0.46579160863261415,0.47194365596534016,0.48406545513042865,0.48726999673748184,0.4933729924444834,0.5163702346437549,0.5296242296924923,0.5430735862994346,0.5447255215188175,0.39954438009872323,0.42589199582686565
75,0.4777611711057063,0.4285053443137826,0.41905333001153816,0.4181180395539898,0.4073439620393114,0.3894044878513671,0.4036153329466873,0.4070985525002499,0.38343937809929834,0.40419504116530447,0.3864862898752985,0.4001722842617685,0.39253610010437506,0.39571052003277224,0.3989631789051106,0.396099645412117,0.3971393779707764,0.3981215319612979,0.4035326871949789,0.4119855634523479,0.4008065841975448,0.39912364539911604,0.4348147793027822
135,0.4692307979095418,0.3906431566217239,0.39951390751018107,0.3939446232186663,0.3907714359146381,0.3882787749133061,0.3839523149896755,0.3845581115943369,0.38417628877243243,0.38633542167394774,0.46472255860694134,0.4696097007113108,0.47035644600114157,0.4824391256942595,0.48870176348397865,0.49285312616515375,0.5158791576484941,0.5269186520756518,0.5388471481707501,0.5503150111462191,0.4003858494979376,0.40804642887503256,0.4348147793027822
