trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
6,0.3814502880918214,0.32567314807486175,0.28305387490980344,0.26580507960964816,0.27147998704362203,0.29595006498485243,0.35120929801806594,0.40276302579880785,0.45578635380009175,0.4927034570804758,0.5447926336450781,0.5941930266634056,0.6785582722784513,0.2959934554193019,0.3129129045248513,0.3162632489663273,0.33065474285528274,0.35420215524245985,0.34957695814712153,0.36061964631122095,0.3762368927303537,0.3888680894874917,0.39734300821805846,0.40886154048527823,0.4238174619885463,0.4284427597892341
26,0.3197206783335277,0.3012515453802458,0.2810449610499145,0.2761907784570802,0.26704004160068284,0.26684089387800464,0.2706092378287503,0.27282375383156304,0.2723231654271362,0.2846542012125626,0.2851882447538584,0.29725696140976016,0.30771790296677404,0.3079354324714879,0.33249446214351647,0.33643028834364547,0.35638674267509507,0.3903585427978589,0.38142143794137606,0.39613021781131996,0.41687919388350086,0.43311389947984036,0.44346749112733075,0.4582225876121247,0.47764485712825,0.4791851185861197
86,0.3008216620975039,0.2949261209912053,0.2861926148386724,0.2773870773285175,0.27254338421610375,0.26779487228031207,0.2671738117213251,0.267385952082265,0.2667293129072455,0.2665281540321633,0.2674428014870724,0.26839202303788223,0.2721095013149298,0.27374978928752103,0.275929170211691,0.279190743215658,0.28188938013166165,0.28588799855861247,0.28959850331102294,0.29495229042405935,0.3003764695027944,0.3050940423995138,0.31013944623158535,0.31616267170913886,0.3269580421954628,0.4791851185861197
149,0.3132474050861828,0.2921561642633218,0.2855846618253636,0.2738734569115145,0.2733284730746582,0.26761062652559364,0.26558640336500366,0.26403816605216407,0.2631340271493838,0.2659781990229825,0.2667591432556231,0.27069123055665817,0.2840514783671158,0.2933313469061862,0.2960962095890092,0.30492274303547034,0.3180457676870607,0.317732478352867,0.32510907481112195,0.3355945915772065,0.34462227949514307,0.3512185253087861,0.3595004933584318,0.36999006684884256,0.3777004009923484,0.4791851185861197
