trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15,0.3113052997222885,0.27447502258187917,0.2306115175143185,0.2114648787655783,0.21863881736144294,0.22172281083855255,0.23550870881641497,0.24959839942874495,0.2742366435418468,0.28753804614637213,0.3149356645533876,0.3357394060959996,0.3611150898042192,0.2609855173202653,0.2694132159262996,0.2732070315954756,0.29538622254756397,0.30833798539574425
40,0.27295294166242906,0.24928944434270084,0.2316198128110176,0.22169706805191988,0.21721341500067268,0.21895245775383676,0.21614982538719998,0.22147717856357585,0.22911830722009716,0.22877916391226613,0.2769384464565198,0.2908078401421526,0.3082074563744722,0.2628449778615382,0.27397549185177683,0.2814392582090093,0.2982435914100745,0.3119564979573239
60,0.26045004347329953,0.24785510507256023,0.23472450358551156,0.22558773059386328,0.22147380876217515,0.2230796425975004,0.22615672312413937,0.22605556793104242,0.23053300626864107,0.2301585117004394,0.238941228359652,0.24587627418830563,0.2552998229447253,0.26470443840281116,0.27853776777725403,0.289671484822543,0.301100960272585,0.3155750105189035
119,0.2674625330275894,0.30880796982713954,0.2889132036927088,0.27611942559165104,0.2654273854111158,0.25747549336401265,0.2564068690136228,0.2534472319767158,0.2510006286398901,0.25125790667973297,0.25229404226562563,0.258114136325182,0.25912605677899236,0.2648509400008224,0.26497480498194187,0.2925288536850535,0.3047194728341646,0.3155750105189035
