trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,0.5231993896543146,0.5109835563334237,0.49012386264501445,0.48585599469607177,0.48745838719702467,0.49000298168743284,0.4856021394212103,0.49222114599546307,0.4889121302308328,0.47998296060982043,0.48404577947797317,0.4864211351856163,0.4685842409653507,0.520373812294725,0.48523301854467094,0.5568341231753717,0.53743244233645,0.5950499131738007,0.5654781775917026,0.5873724445822261,0.5674700575928776,0.6897938342277682
33,0.4646250035320296,0.4636501333832246,0.4600900175748589,0.45199187407911284,0.4515866907311546,0.4514336716118696,0.4452324509431116,0.44194560485770495,0.4407205064059048,0.43154357488894673,0.43284614500815666,0.43892390867852005,0.4229708853146713,0.45564111487654646,0.43766763758699617,0.4705013834828714,0.459751418242275,0.4942578763674692,0.47525307642293646,0.4886160231353569,0.48823272207576024,0.554370892122658
76,0.4256833936360328,0.40397987771479726,0.37913782656325223,0.40996903379666144,0.408944627932662,0.3857636010065891,0.39022050105174705,0.39167006371994684,0.39252888258097685,0.38310418916807304,0.3816465105383401,0.39142668217142385,0.37735752966399194,0.39090841745836785,0.3901022566293214,0.3841686437903711,0.38207039414809996,0.3934658395611377,0.3850279752541704,0.3898596016884877,0.40899538655864287,0.41894795001754775
136,0.42418834377894543,0.404568910949546,0.3738454951673013,0.3586922057614679,0.38475661787166177,0.38743510051065505,0.37818230894398447,0.3781379139960831,0.37683706244105064,0.4335749843230231,0.4340338228619782,0.43000546156838726,0.4488656709793585,0.4380707180015194,0.47346818990234657,0.46080054306341056,0.48856015366095035,0.47947200857642014,0.48620020991819823,0.4786648296406827,0.5493946103932055,0.41894795001754775
