trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,0.24821010042300246,0.402379348537792,0.222966507986876,0.21432117474107742,0.21138600095076807,0.20660406697386163,0.20439034995808747,0.1157172230332406,0.13129365728047845,0.13370493411473314,0.13709851823958094,0.14334350571650303,0.15503038168540043,0.16768381742319685,0.17627462467299385,0.2148174517839492,0.23300072095129654,0.27031010852319054,0.3007910821555781,0.32549069318012236,0.38212318847619947,0.4048344459829076,0.4399618261200044,0.47623131222697757,0.5120785526128855,0.526916818555604,0.5860973819837703,0.6235405857557156,0.6973449842990074,0.7207049382377848
31,0.24821010042300246,0.18853618104299996,0.20757877073625766,0.2007541037403595,0.19462734016582292,0.1867982549956612,0.1807355934884592,0.17952737075809236,0.17188303972586713,0.17121695099254614,0.16708504784410805,0.1697034963395195,0.171128603713018,0.1759298957586181,0.18022072962864805,0.18806512321345564,0.1966300423523584,0.2090010700767104,0.21765077251865067,0.22753449934111622,0.3000862015394433,0.31401699555216284,0.3357516391621037,0.3571573905410965,0.5157881190985651,0.5417119594126456,0.5954581829267566,0.6419916853915385,0.7031849727837017,0.7207049382377848
66,0.29959984979459897,0.28000512582252424,0.2273559808708237,0.23463035395842893,0.24656552039098104,0.21428766440136207,0.21298335893687045,0.20532793597844454,0.2029549685375188,0.20169002398856772,0.19821088549187188,0.19792663686314552,0.19940960413872624,0.19722481692931798,0.19815730947538732,0.19910999646939861,0.20167037534387935,0.20508427117910003,0.2072460496764111,0.21199784862639293,0.2180492146026871,0.22319954512141807,0.23154145220420308,0.23808346885521545,0.5194976855842448,0.5565071002696871,0.6048189838697429,0.6604427850273615,0.7090249612683961,0.7207049382377848
126,0.3509895991661955,0.23835424523749435,0.22788824574179534,0.2281446617357132,0.22640987895206208,0.22804510642771575,0.22220712306257254,0.2203834387121916,0.2182615043983708,0.21609108419557796,0.21465335868680968,0.2151264649438044,0.21372085395897142,0.21373435821998885,0.21267766396868182,0.2126338609502486,0.21250115843005407,0.21348615004536498,0.21381582839621285,0.21584450156049115,0.2160562918724962,0.21897631636441137,0.22117655647871537,0.3750810107340504,0.5232072520699244,0.5713022411267287,0.6141797848127293,0.6788938846631845,0.7148649497530905,0.7207049382377848
