trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6
23,0.3008159020669603,0.25465801503254415,0.21897155350024516,0.19837132226618973,0.1835824323636887,0.1767431890307547,0.1798752684196473,0.1873162656621377,0.2635806046289722,0.25201825361071506,0.24695142762558867
43,0.3008159020669603,0.26644678673401584,0.24350487645362706,0.2284020195716341,0.21503754982573037,0.2066281540679494,0.19848311144179032,0.2012088475221305,0.23700315997446258,0.23045185685282404,0.22978424360692168
66,0.3008159020669603,0.27823555843548753,0.2631105742700385,0.24929490974285054,0.2379612067231791,0.23052182740029833,0.2210314711361437,0.21510142938212332,0.21042571531995297,0.20888546009493303,0.2126170595882547
126,0.2777369585497522,0.24860355596786635,0.2307409482681141,0.3460252579202012,0.32997634491082983,0.3140410677139249,0.30146125318104444,0.2901580492834818,0.2735846503686061,0.26411861164425565,0.2126170595882547
