trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9
10,0.22650440683198078,0.18049960834677622,0.13955598560753654,0.12476395922494501,0.14168954096913577,0.1640034446431152,0.19591068581059534,0.2381954267019326,0.19811838838112816,0.21275075365165805,0.23351650252463102,0.2755081365590993
33,0.20461776388806185,0.18431552019505912,0.16571002175652894,0.15702777543061414,0.15269280099062443,0.15494785087695434,0.16661634279027268,0.18184401179376558,0.20274848382161711,0.22779346562638056,0.256562039864813,0.28182350212386137
93,0.1965783787076333,0.2682740199016682,0.2493338129314259,0.23423820607593643,0.2228368578926107,0.2103723522325939,0.19851597535648993,0.18885819750015026,0.18266532970221305,0.18742542784426705,0.2628774054295751,0.28182350212386137
147,0.18853899352720477,0.2039150027546024,0.2512250764881477,0.2438092430468543,0.23392810297170302,0.22011244445313946,0.20986241498067815,0.1934882929406392,0.19770804167693556,0.21047096518444905,0.2691927709943372,0.28182350212386137
