trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
24,0.4750578089817085,0.4327397796160554,0.35610164763306057,0.35646116509873893,0.3186988960061383,0.3059439702900578,0.29569255132403616,0.2946903806724339,0.29096846363538653,0.3062219565513527,0.31474854751994846,0.32607154816559475,0.33266089898492757,0.3377428207439417,0.34708523038107186,0.31823659356127987,0.32240063656934476,0.3326201425286185,0.3426271313905144,0.35423156419103063,0.3606885061304789,0.3942867244923637,0.40577399469914527
44,0.38409082580035925,0.3789897718901537,0.35600154633607073,0.33933351122381455,0.323126992605012,0.30434077496115736,0.2974981610485857,0.28672943248648713,0.2872743683863711,0.29350645843748757,0.29475396278210114,0.3012042474862845,0.30361978355652935,0.30644514120116206,0.3171537496311559,0.32373095532510804,0.328703973402006,0.34280625993037683,0.35740729010867467,0.3730012556090986,0.38183316786660865,0.39843791003428203,0.40821935625409966
103,0.4003071437389246,0.42865119720522665,0.4099706128740979,0.39196454287654725,0.3744013282833728,0.35865513836191115,0.3439619517532513,0.33289176237794166,0.3247080350801395,0.3160807466039166,0.30973170213610535,0.3083760757092562,0.3087063652162073,0.31228869600010134,0.30724787003362347,0.3097939629040223,0.31224790772510186,0.3130668139541938,0.3166921813548948,0.3183991826582195,0.385984353408527,0.4008832715892364,0.40821935625409966
162,0.41652346167749005,0.3923764224191436,0.38321588898641845,0.35705124878754346,0.3457495326184823,0.345425449628693,0.3340500996192516,0.325960633166905,0.32219481859669263,0.31482033042432817,0.3090101743588303,0.3055413419696552,0.3232245929800745,0.3296869631905866,0.31274223179745164,0.31609729973668355,0.3224340251268602,0.3278469726723541,0.33546187277296274,0.3395438443943492,0.39013553895044534,0.4033286331441909,0.40821935625409966
