trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
16,0.4491007973258342,0.4724255227659755,0.45009314120276556,0.43537847327700774,0.43349964299316396,0.4370578202107463,0.44235670495227414,0.4424889456458796,0.441549031670826,0.4377695673053186,0.44528029881278147,0.4299052196994905,0.4906724031563476,0.48293250122643383,0.48521328362287375,0.47453146588013445,0.4926317447504135,0.5118772139211919,0.5080901990476566,0.5311212616931835,0.5421946117716245,0.6194340637150316
36,0.48903397883244837,0.4796928196944793,0.46529333151890945,0.4477032405446504,0.4329932432971973,0.43877837403909625,0.4547124876362362,0.4211418536824393,0.4163813353901501,0.41501685062773824,0.41551047688147763,0.40689756093100404,0.43658947239819923,0.4321479187270914,0.4329899103747179,0.42700552388543267,0.43587753867206314,0.44202520649539956,0.44396512087625256,0.45397237553275244,0.46000392515033706,0.49423930956680723
79,0.424964346616043,0.41310447106706616,0.4136145707557024,0.4331837137319671,0.40820499288191675,0.4191284531150537,0.39119168830416395,0.399794761718999,0.3912136391094742,0.3922641339501579,0.3857406549501738,0.3838899021625176,0.3825065416400509,0.381363336227749,0.38076653712656205,0.37947958189073083,0.37912333259371284,0.3721731990696072,0.3798400427048485,0.37682348937232135,0.37781323852904963,0.36904455541858283
139,0.44869493469100924,0.44282464580878356,0.4148267804070459,0.3898476693312915,0.3822247725328949,0.40014938340620143,0.37925609936142163,0.36886969905527744,0.37845816895167017,0.3609766977449782,0.40782293732483216,0.43728115265943257,0.4327195214332423,0.43328830992531137,0.4276490015033483,0.43605566332057216,0.44550027325745234,0.4401316990586319,0.455480652199016,0.45950905057197294,0.49862365112204066,0.36904455541858283
