trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5,0.40426618384396296,0.6485495561635001,0.398615663311993,0.3957456541430272,0.2875402855885251,0.2382895757261205,0.22879488981963042,0.23640691159587776,0.277666501436673,0.33935667745922815,0.3535378408196993,0.37567229576016187,0.4014113398094242,0.41506163349483943,0.4865359418540828,0.34165046885417094,0.3543543006239731,0.36208181182195726,0.3835679414719512,0.3954102875804836,0.4093418827927468,0.46926487856954624,0.48619799947480624
25,0.40426618384396296,0.3713020895735015,0.3395309201641891,0.3231040054959511,0.2953940492296252,0.2809235103193065,0.26927106553338687,0.2670662950626344,0.27315462753310293,0.289404132253437,0.29771491417721613,0.3063859659055702,0.3218878680473989,0.3328982364127936,0.3448952026808672,0.3627768084477818,0.38052231830786737,0.3906353655838762,0.419196174991953,0.4368629313146686,0.4558212649678442,0.4737460831034469,0.4903486382652594
84,0.485693974617142,0.4197754246700765,0.4154976342109838,0.39063765230500186,0.36901045741522426,0.345680171184866,0.32992107144801297,0.31758292695237583,0.3094366285795459,0.30234487352781614,0.29769703447661083,0.2986531042439568,0.29821518082853204,0.3002529645981304,0.29939778966694913,0.3020182652561845,0.3049747042981194,0.31231147443194773,0.3125050001121136,0.31638311844255207,0.46030246950174486,0.47789672189390003,0.4903486382652594
143,0.567121765390321,0.40919554399103475,0.38231273951824407,0.3642155031304381,0.35014745511725,0.3380111221837185,0.32846136696129963,0.3192909169482061,0.3118728380885806,0.3048584724911622,0.2989613378915779,0.29758446205224703,0.2982228646448882,0.39339445322610656,0.32052412926056,0.3281862829400788,0.33352825806003833,0.3479397079519495,0.3539576438462986,0.36286250061764946,0.4647836740356456,0.48204736068435317,0.4903486382652594
