trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
15,0.31508431191438063,0.29715365377482483,0.2947866294818395,0.29096793718725816,0.29290693973093934,0.2909668723445059,0.2919164764110206,0.29772411764219275,0.3041887843228551,0.31710586357258536,0.32346110901588987,0.34670536395813545,0.28363765427553683,0.28427900150943153,0.28471618770807616,0.2846735451932902,0.28710946244614227,0.28926641125540326,0.29244276791811785,0.29442928339873264,0.3076042017864889,0.311288564104255,0.3149072287873094,0.31798199212016204,0.3218525646621564,0.32437416958864773,0.3290778861331653,0.33522802169895605,0.3442022895223974,0.36192024751669094,0.3777620771170144
32,0.3006270303899167,0.2964230062079539,0.2948979276380013,0.2910484141673355,0.2898187867221832,0.2886921920127247,0.2884539719812135,0.29100961138359244,0.2906010146641352,0.2959565800594452,0.29873529266338505,0.30503087526476275,0.28771836551689994,0.28647747812392405,0.28915394987218634,0.28826325079087795,0.29174813205549666,0.2947904691556237,0.2992404752410722,0.2994140928626304,0.3092068515164693,0.31152809553315763,0.31647702969993396,0.31794957287396375,0.3238202701793519,0.32366726653469796,0.3321366474593739,0.33524432815564287,0.3486731169774313,0.3663083990588038,0.38129484037506334
56,0.2925809954134617,0.28808558403045303,0.2867075302348803,0.28537563838063346,0.2844861564475848,0.28380142640575606,0.2846410549570732,0.2848017535202796,0.28593062249248546,0.2860552517221438,0.2866111111936675,0.2877204725753874,0.29179907675826305,0.2886759547384166,0.29359171203629647,0.29185295638846565,0.296386801664851,0.30031452705584405,0.30603818256402654,0.3043989023265281,0.3108095012464497,0.3117676269620603,0.31804683061255856,0.3179171536277655,0.3257879756965473,0.3229603634807482,0.3351954087855824,0.3352606346123297,0.35314394443246516,0.37069655060091666,0.3848276036331122
120,0.2948673245941433,0.2871123143326596,0.2840674031566488,0.28377916678847775,0.28183342723733096,0.28091880740800057,0.28106433390156393,0.27915701417165095,0.2799006315702339,0.28003686945592443,0.2800217200003902,0.2795569430341737,0.28208052489493896,0.28027842554396604,0.2810838395957025,0.28247079283678794,0.2837423533551829,0.28564506059516354,0.2894444739348349,0.3060015520565085,0.31104903267535233,0.3133374278746849,0.31801441136636033,0.31988485914496095,0.32508107264259756,0.3260191248069567,0.3352117152422692,0.33973146206736354,0.357532095974578,0.3742293138589655,0.3848276036331122
