trading_days_to_expiration,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,0.29885011225391983,0.27418351269917707,0.24649842117495613,0.24011857110845064,0.2290941449303422,0.20303306684400052,0.5920354487703888,0.4936877075132158,0.41044029352328404,0.3280014055629048,0.29942743021177726,0.1912617137637441,0.15617168177461738,0.1668041662023999,0.18286153556781012,0.2011322957491252,0.21789392639268537,0.254813953446347,0.3086132657884668,0.1898190704698713,0.19561329747499165,0.19717931937367975,0.19839117416055224,0.2019427299281463,0.2018424872791654,0.209009236926183,0.21201350281024334,0.22178712581675045,0.23568532935450054,0.24336970244246023,0.2593874647147325,0.27466571549749275,0.2903834567223065,0.22200495060991382
24,0.29885011225391983,0.2659613128475961,0.2400107906174095,0.2401544979387977,0.22540736059419036,0.19557496892727055,0.2074741090019919,0.2003608616039618,0.19884045549392163,0.18691309147045854,0.1875663442678421,0.18374256948014614,0.17750787485003783,0.17876256093973977,0.18177482157106142,0.1797251967640434,0.1829747137178037,0.18446305181340356,0.18764360670843147,0.18980632242492082,0.19863339374370434,0.20100673472977726,0.20276474633755337,0.20753127959711956,0.20708548146318798,0.21908806845624187,0.2215028674536115,0.23523893687387773,0.25596515670217695,0.26602258510195953,0.28891002306368246,0.3103105353337404,0.33049631579385486,0.2245078745387769
88,0.2906279124023389,0.25947368229004947,0.24004671744775655,0.23646771360264587,0.2179492626774604,0.21289801547626028,0.20582054862489588,0.20563419343057043,0.20021177760091793,0.19211364046058896,0.19106024565673763,0.19373574626711315,0.1888843441355171,0.19060453695717577,0.19074115580808212,0.18978546310993086,0.19026473745041886,0.18954970767693818,0.18984456655977222,0.1895731049375663,0.1895244886614847,0.18964402980655,0.19076563059019977,0.19135649891112025,0.1888515738660653,0.19303477352350698,0.19488350370249585,0.19512567465914774,0.19806393712346165,0.20034234801683257,0.20337607582499737,0.21015773857920975,0.21699910275218762,0.22701079846764002
153,0.28240571255075797,0.25298605173250277,0.2400826442781036,0.23278092926649402,0.21049116476073046,0.4024667321233245,0.3497541280690558,0.22124783428243414,0.21247068598971813,0.20812862573204566,0.20668102706696234,0.20490248367623948,0.20404020941835543,0.20006969558874324,0.19972323669913242,0.19908850691932972,0.19634069068613416,0.19485828397797625,0.18983181851482175,0.19259320120627899,0.1933519040175822,0.19401760198355114,0.19635418025917303,0.19659949309514282,0.19893040539612417,0.20252413816687515,0.20833531475962314,0.21540550200682415,0.22071681978296095,0.22986490636578252,0.23902089566124504,0.2502705976507581,0.21950202668105073,0.22701079846764002
