trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
3,0.4732020056533245,0.43227551632210326,0.23685526843374446,0.24271382469863964,0.262373380650703,0.259442759450954,0.2794229176969372,0.3287123372451569,0.3704955592665937,0.42800185550830266,0.45323068612453404,0.5082756392720361,0.5639671244083003,0.6207184384112483,0.3976934254791251,0.3757971682665056,0.36693249337155953,0.36032246417311903,0.37303400535448833,0.3785485963497456,0.3909203865761415
27,0.4732020056533245,0.48503546066996617,0.44920800530387156,0.44863777125829285,0.44907206750587886,0.44667344110957086,0.44749755675378566,0.43829370933524037,0.4332734447233522,0.42950343632106985,0.43216957580550086,0.4291542731388668,0.4356849227073886,0.4346401624717041,0.4464784455809612,0.39591910727358354,0.3881697289427644,0.37438726959192975,0.3973372016576074,0.4074661069322482,0.4172213046493739
46,0.44921375085945586,0.44088020053108834,0.45022671011193466,0.4121432267978176,0.42192083867584795,0.41606430797638305,0.4322141988786576,0.4165668385568843,0.3974965057991989,0.4245785609359159,0.4272079101456652,0.42047752843856284,0.4235471093487915,0.4134766915535581,0.4243799960488233,0.4160410462806615,0.40940696451396935,0.3884520750107405,0.4216403979607264,0.43638361751475085,0.4435222227226063
109,0.3795155719742404,0.3842563707969892,0.37415068670558366,0.3456139229041756,0.38489335339268294,0.3563357302804581,0.3565926004526632,0.3602997571586532,0.35282672980926916,0.35787164237399727,0.3548697864917698,0.3578682449825099,0.34853264433330106,0.34890840537728895,0.3556752292594276,0.3456952578003546,0.34625765875430825,0.34873080905136933,0.34963108576724294,0.3646194685029091,0.3675193052023328
