trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
7,0.30251180365453595,0.2674062369058373,0.2504358534725514,0.19547676037351722,0.18844946730732856,0.15220017542134157,0.14758068073106428,0.11814078002342143,0.12284329726813646,0.10581455338977488,0.10951857074110634,0.12714232747769774,0.1720209238431846,0.1828165116841538,0.1780423274444995,0.18112578115101002,0.18460801346166256
22,0.27746866093050077,0.2491039431186739,0.23932201009328927,0.2023262160307996,0.1985157411300085,0.17348149724899245,0.18898568273465186,0.16273574849015854,0.1482525394687972,0.14086502545149962,0.14208742512331005,0.14381408049083372,0.16893326040021384,0.17336180411314042,0.17085849459363212,0.17649353164844817,0.18824118092708927
42,0.2524255182064656,0.23080164933151048,0.22820816671402716,0.209175671688082,0.20858201495268844,0.19476281907664333,0.19463205542988626,0.1830892019595164,0.18263685569299218,0.17554693026538368,0.17525970038980643,0.16888484418465724,0.1658455969572431,0.16390709654212704,0.16367466174276477,0.1718612821458863,0.19187434839251602
107,0.2599158775561514,0.24542762426263998,0.23409869943703474,0.23146468190209885,0.22212932898293444,0.2209771056580012,0.2153362607083764,0.21212589491116146,0.20653509881247162,0.20548845970493737,0.198965402938808,0.19916784608438654,0.1922712192551672,0.18522616029536684,0.18575803065357188,0.1809748459962358,0.19187434839251602
