trading_days_to_expiration,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
20,0.5294081957389383,0.48160446049979455,0.4338007252606508,0.36190823591911836,0.33082389613450397,0.2838767734270917,0.26001922109760317,0.25069294146479715,0.23973257860527253,0.2420412473972433,0.222356157897697,0.2284882441461663,0.21637728117948382,0.2194468605367041,0.21408161317289212,0.21183939693529846,0.2086462215693089,0.21232038295398728,0.21139208128012857,0.21140316590809363,0.2160542234247376,0.21775571978184796,0.22342339211957896,0.22170493835425142,0.22982022183487008,0.22857737950506263,0.2398407147821049,0.24797983349134195,0.2599521642332911,0.27162342776637943,0.2896947039081174,0.3015663092177993,0.2448214985289273
36,0.5174572619291523,0.4696535266900086,0.41582760292526766,0.3541371509729648,0.29858347499709936,0.26827700571653373,0.25323771934234174,0.24625046146062163,0.21749675732600557,0.22908860222373906,0.2280558709014124,0.2287274569564002,0.2247568843138584,0.22373629175248141,0.22015034360404054,0.2193653350837252,0.2181900156697909,0.21958816529754385,0.21887745837603745,0.2204087508201627,0.22028298523330603,0.21926978939574987,0.2212105540052635,0.22241881911048705,0.223693361937673,0.22777555767036722,0.22869016220806862,0.23500624286029168,0.24827298143353027,0.2558256752139085,0.2675581607249117,0.27953320243984703,0.24478015007571396
74,0.5055063281193664,0.45770259288022264,0.3978544805898846,0.3463660660268112,0.26634305385969476,0.25267723800597575,0.24645621758708033,0.24180798145644608,0.23785631452502998,0.2301108263614823,0.23091742126771703,0.2316178220023196,0.23337105027627864,0.23140769665895417,0.23027349221176752,0.22963890276193527,0.22896592536681803,0.22835056702827872,0.22792257904570257,0.2280304036109948,0.22743367392241476,0.22831812656219772,0.22958498142806041,0.22969709389416362,0.2302149926662722,0.2297167030797952,0.23190761865852683,0.23336255141391293,0.23659379863376942,0.2400279226614375,0.245421617541706,0.2575000956618947,0.24473880162250067
138,0.49355539430958045,0.4457516590704367,0.3798813582545015,0.33859498108065755,0.2751099136433932,0.2563482295517895,0.24857457952593875,0.24077028003085932,0.23994878096113664,0.25033480678021713,0.24772266096179046,0.24785847549372408,0.24564076143206945,0.24336309923601354,0.24185545083078866,0.24344514928507135,0.24184299339358226,0.23947551018932575,0.23920217301768162,0.23946988615757092,0.2403774359422717,0.2383650215753775,0.23902731842315192,0.2398479933054861,0.23831003382839813,0.2391323314354441,0.2386111173256757,0.2387403712449945,0.24009683521432912,0.24272224833870143,0.24117339072008348,0.24486284698214061,0.24469745316928734
