trading_days_to_expiration,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,0.4787396037494877,0.45520635354462285,0.4474888004652275,0.44664569747047767,0.43696610541568565,0.4433947228802053,0.4387998178966238,0.43853239387057596,0.4430702520976303,0.4415717660121872,0.4480477708144939,0.4558432035419998,0.4577756474734656,0.46313906586015713,0.48066898157720506,0.42548798691254236,0.4312941526124942,0.42723569819416646,0.4518792058133248,0.44803407339478096,0.4641058364402974
41,0.45835250917247955,0.4547935003843233,0.4478357750227499,0.440188636278508,0.45301788841649554,0.4285279145230886,0.434301092273518,0.4316418670622536,0.4320820509322489,0.43070476833061805,0.4335085782156019,0.4426257868926218,0.4366307380187477,0.4427170035863091,0.43697636160746756,0.4434214390791521,0.45264344145596375,0.44800268639178287,0.4838398370370172,0.47887905598394903,0.5003313508756686
104,0.422989339477763,0.4282723463315307,0.43101774027872597,0.4101737638572761,0.4089445616485318,0.41176541025025276,0.39703603238769386,0.40001730396841356,0.39873827132121814,0.3831689204876807,0.3872109396339677,0.39733968266173914,0.40991881316415907,0.3898715645105943,0.38962108257932293,0.3885955749255552,0.3857017217989337,0.3879579433659399,0.3863441082164449,0.39165480756955495,0.3961864830020384
164,0.3892746394762159,0.4341963555039744,0.3854735461316657,0.38562386958345046,0.3682559400863285,0.42528261407343826,0.41778421312913494,0.4215437780330219,0.4201550186667027,0.4156083456510873,0.42152707158798375,0.4275576650676024,0.4365289395121581,0.43527027304389965,0.4075545347459327,0.4099448637690247,0.4064687099965501,0.41991857458963233,0.41718909080561295,0.42788032200492615,0.3961864830020384
