trading_days_to_expiration,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
14,0.5710256860200104,0.617928775445599,0.5252926582206502,0.4868265902574718,0.45434672334039367,0.44430246056382866,0.379586450733584,0.35343179975528,0.29938096734226455,0.2656913906438925,0.22707752370631656,0.2014073456571491,0.19947166599683638,0.1806307054492443,0.17893169069317552,0.1812206482011259,0.17743485493442168,0.18112584583605815,0.17988964915021619,0.1876765646403984,0.18780129056878658,0.20496630509534494,0.21214963707398682,0.22365112215152805,0.24523129056407456,0.2673711635113063,0.29111663898240603,0.31571788280853225,0.349509309649721,0.37024502715115093
32,0.5827514583764075,0.5947697461393617,0.5156761412298556,0.47870662352820226,0.45183565764625244,0.4281234581062675,0.373047787989008,0.33991909165202616,0.3460061412507308,0.3127297232224916,0.35346888190714637,0.2799113064096056,0.23651247804985698,0.21875404601479953,0.21038215818577627,0.20253692424295291,0.20001497963578266,0.20088159459956975,0.20613040925886558,0.21320753631447514,0.22610490859283963,0.2214412785283102,0.2279027266797215,0.2381429354828957,0.25411854640335785,0.2723861919977475,0.2972669499389376,0.32416573951882943,0.3546932390250785,0.37024502715115093
77,0.5944772307328047,0.5716107168331246,0.506059624239061,0.47058665679893275,0.44932459195211116,0.4119444556487063,0.366509125244432,0.32640638354877227,0.3926313151591971,0.3597680558010907,0.3198711594203535,0.2874827503114791,0.2568673131860222,0.2515921985705465,0.2412279262747014,0.23422372885034476,0.22860234418540787,0.2230254340689066,0.22679039006654847,0.22817578044722678,0.23145742550335774,0.23791625196127542,0.24365581628545616,0.25263474881426334,0.26300580224264114,0.27740122048418864,0.30341726089546917,0.3326135962291266,0.35987716840043593,0.37024502715115093
136,0.6062030030892018,0.5484516875268874,0.4964431072482664,0.46246669006966323,0.4468135262579699,0.39576545319114514,0.359970462499856,0.3128936754455184,0.3291613529015448,0.2934227897537036,0.2606392525387513,0.3454766873929936,0.31818187533984243,0.2987097803675813,0.2868603144969059,0.28050619249865355,0.27298963493778505,0.26675138758816935,0.26242564750094,0.25923852756451193,0.25841529604171676,0.25504569819143313,0.2548858864146706,0.24893301968916895,0.2651884828769737,0.28425892973329736,0.3095675718520007,0.3410614529394238,0.36506109777579343,0.37024502715115093
