trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
11,0.2446385959854882,0.24571138817509705,0.24954532512172437,0.21793710770471109,0.2102860307144903,0.20636626525632631,0.20568325970690815,0.202076916428661,0.20981591100722738,0.22249912763592983,0.237143240460903,0.24745509805671642,0.2653106455522271,0.28031888891007906,0.2998480310189371,0.32550227080046,0.3444486812642773,0.3754864622503616,0.38750881908042045,0.4011921511581139,0.42375148163238036,0.4482385382279858,0.44595574754641254,0.2776081373505386,0.28174992292424794,0.2896618721840537,0.2970571078916516
26,0.24490679403289042,0.3257631625665922,0.27158098728928953,0.25485901101868663,0.25020128890117954,0.23993525151992545,0.23640701748274365,0.2376448032831767,0.2468472076503329,0.2607278395279089,0.28048137932329875,0.29526751775818405,0.3274042092689484,0.3611361396666873,0.274457326280158,0.2902214806535093,0.3020549589894295,0.31907842350063625,0.3280109167127349,0.33824546529297184,0.35255482427931906,0.37132321138383023,0.37197540852764055,0.29395820456182986,0.30145378355233216,0.31169171016693414,0.32148275371396035
46,0.24517499208029264,0.3053818554886415,0.2922392629524889,0.26514475686863,0.25753756220714563,0.24805037259081839,0.24493859976499058,0.2448741447172331,0.23724354102395595,0.2423073815645374,0.24751337012787794,0.24200213712952348,0.2445952132276346,0.2482411145193792,0.24906662154137893,0.2549406905065586,0.25966123671458174,0.2626703847509109,0.2685130143450494,0.2752987794278298,0.2813581669262578,0.29440788453967465,0.29799506950886856,0.31030827177312115,0.32115764418041637,0.33372154814981464,0.34590839953626906
106,0.24544319012769483,0.27265881946212783,0.2812465665707092,0.2648157345661249,0.25645193271728106,0.25244634191641824,0.24961894316749583,0.24858613961731468,0.2477268307402923,0.24724140513456777,0.24653316059662506,0.246257932876359,0.24526150901511556,0.2454829139190933,0.24477651632867448,0.24700366149636707,0.2481494946949068,0.24927626740186465,0.25228045765013074,0.2525602866655243,0.259728632143798,0.2616862000749798,0.2612580701392473,0.26204606229616373,0.2676320342011732,0.27263146206934286,0.34590839953626906
