trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10
7,0.18848660076840176,0.14495345517238512,0.12878265140059456,0.1381100351619931,0.16339632301442444,0.20396146851786476,0.2367252905030646,0.26690780292635546,0.20871333944410278,0.21117499402076756,0.22017332287840125,0.240564071619713,0.26217375557595246
32,0.1776033143693976,0.14091075422943747,0.2856107152403541,0.2491243039021096,0.2189759022008344,0.2001947876986074,0.19058491354446377,0.19084998880579485,0.2019294402547739,0.21374756493424674,0.22758503391933824,0.24489041751983792,0.267934868261324
86,0.16672002797039343,0.13686805328648982,0.27916950216468084,0.2595139869922039,0.24455640592256336,0.2324490796420937,0.22058276162307183,0.21067223520372047,0.20602985219380918,0.20534990079652726,0.23191137981946316,0.25065153020520947,0.267934868261324
151,0.15583674157138927,0.1328253523435422,0.27290072362059575,0.26066542931269876,0.24855583518715985,0.23790617569567557,0.22613743267605543,0.21549723863343165,0.20860242310728835,0.21276161183746425,0.23623772571958807,0.25641264289058097,0.267934868261324
