trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9
19,0.4624073380178432,0.30905261677833623,0.29967045925711355,0.3027487428344024,0.29517553469118596,0.29231723290930317,0.2917684894499072,0.2979778859762865,0.30656995746117943,0.31345007998388597,0.3170851265116004,0.3214221088137001,0.32241307001337427,0.3348230961256341,0.3485939365218318,0.32189665486127406
39,0.4624073380178432,0.43633281545016045,0.41696180368371777,0.40038515784038675,0.3852169745205163,0.37036683761570854,0.35939196643533405,0.35162108430251876,0.34675715514143,0.34196903096147024,0.33929806517903205,0.33587848163780026,0.33616442548564307,0.3370464573435386,0.3356951985417636,0.34088506963399057
97,0.4112890976046742,0.39077869671914484,0.35103886070413,0.3441975232843188,0.3374989272571151,0.33505107636054554,0.3287698943847223,0.32469029591544224,0.3221400225859992,0.31976810215226753,0.32045348064760354,0.3185997751560011,0.31686542667297923,0.31656675762116787,0.3142195764430188,0.3146401158435933
157,0.3601708571915052,0.34522457798812917,0.3268938017692662,0.3196865289877524,0.31490808008320914,0.32328137183648054,0.3205183494172066,0.31768223486904335,0.3150608333113421,0.31271889914569284,0.31115700542863073,0.3062708564818056,0.3054579298806806,0.30482491548459223,0.3029082400885576,0.30073844322539417
