trading_days_to_expiration,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8
3,0.3579228960377408,0.32318272519365077,0.2884425543495607,0.2789037002256527,0.24959049097709096,0.11044948118988733,0.14386151880791676,0.22798165676060608,0.31064684738449055,0.3643429724885009,0.44219140422709213,0.5210760068726686,0.6011019315837658,0.20496145288199943
18,0.3492378533267183,0.3144976824826282,0.2797575116385382,0.22164776543209214,0.17888342648226663,0.16093769536753386,0.1472886954843963,0.14454199479034832,0.26705806494172746,0.2882315875295904,0.32299505063890055,0.3604585697563644,0.4030316922328826,0.20496145288199943
63,0.34055281061569576,0.3058126397716057,0.3505695615947987,0.3254040360217636,0.30090553306041784,0.2761663441440423,0.2551925101130215,0.23935580430419817,0.22346928249896442,0.2121202025706799,0.20379869705070894,0.1998411326400602,0.20496145288199943,0.20496145288199943
117,0.33186776790467326,0.2971275970605832,0.3361596350192133,0.3202975554719153,0.3009474647851697,0.28671545850034,0.2728104268222947,0.2673476462315409,0.2517679863672262,0.24548103752289707,0.3624373519616888,0.400471532111913,0.20496145288199943,0.20496145288199943
