trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11
19,0.15790519996800062,0.16042019453293285,0.12519646655822625,0.14853502786424064,0.14861856963536044,0.15272185691583137,0.1496605068441257,0.1485296409438976,0.14834726755815608,0.14816729464133022,0.14497026099860946,0.143448312670389,0.14830998981541732,0.16622499939399754,0.1672557399780243,0.1680980858967772,0.171432904103312,0.17534138458871096,0.1774843408994916,0.18638782610279703
39,0.15790519996800062,0.16167769181539898,0.14416939141419793,0.1556365577574342,0.15541062973150532,0.15594402999832602,0.16093252513026113,0.15848557683796297,0.15797983207958977,0.15882920695293995,0.15607927951098638,0.151895494096151,0.15367311111928408,0.1630532421119298,0.16363168014343285,0.16499054679880076,0.1703723681531898,0.17446128733088676,0.1794359163127061,0.18888799329123523
59,0.15790519996800062,0.16293518909786509,0.1631423162701696,0.16273808765062778,0.16220268982765024,0.1591662030808207,0.15942117915411935,0.1608933067967063,0.15868647932455304,0.15872496173886763,0.15833485477484102,0.16034267552191303,0.15903623242315085,0.15988148482986209,0.1600076203088414,0.16188300770082437,0.16931183220306756,0.17358119007306255,0.18138749172592064,0.1913881604796734
119,0.15916269725046672,0.18209431612548863,0.17719333128941137,0.17304748924599772,0.1708804055889268,0.17009391587073677,0.1705762816302931,0.1692764996487674,0.1692138264871992,0.17037341174035267,0.16930955114192917,0.1694741480872486,0.16939675667606527,0.17087979981261575,0.17120562499475359,0.17249344005343423,0.17622148184653516,0.17553276548627708,0.18388765891435882,0.1913881604796734
