trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
8,0.24582616314134065,0.23204003109929372,0.21566618243075147,0.2036255876892502,0.20251456389643835,0.3796830561944026,0.25840369068892194,0.25341168450716123,0.19733221811112092,0.18455646233969938,0.17278092824643,0.1687795260133273,0.16925097804698552,0.17470660652894288,0.1923580810251625,0.19530197249123152,0.21823869863854192,0.25563322397874183,0.19106816158164486,0.19221589156759553,0.19505674771579692,0.20132570994939603,0.20135903245918738,0.20134223622297132,0.20034067777686404,0.2065345478438821,0.2143503448993236,0.22074373568316247,0.23621845917829934,0.2457324633556066,0.26004306368456337,0.27410634344643253,0.2929925812886076
28,0.24582616314134065,0.22744465375194475,0.21174002532368705,0.20092077514443793,0.2030458268137718,0.19280437524953248,0.18858642501590353,0.17933546265285455,0.1830706344751659,0.18182721899517484,0.17925016111739386,0.17864263780042183,0.17750054845008154,0.17878575226020274,0.17855291958209787,0.18148812880166754,0.18062628508662096,0.18206880334492737,0.1884258310815728,0.1899128830316513,0.19402901159669092,0.20341230452805342,0.20291934965606334,0.2026185584316442,0.20044085389600966,0.20968010006288765,0.22042618543661363,0.23006136551970446,0.25197020929789593,0.2647192820925194,0.28450775847058574,0.30268158923475275,0.32731653119716414
92,0.24123078579399168,0.22351849664488033,0.20903521277887477,0.2014520380617714,0.21924031027412302,0.2051278765173285,0.2141045748982702,0.20090642022341326,0.1965100487562343,0.19835324593875062,0.19782092288115843,0.19697288952976177,0.19633461715981584,0.19584529451083665,0.19621431464083708,0.1958335391500351,0.19603690669558446,0.196352822581789,0.196821908639484,0.19711221995400896,0.19715252079208126,0.19823839806543544,0.19878959180562553,0.2001403255385728,0.200243443405871,0.2021986638247436,0.20210847601007845,0.20471495893910613,0.20775882588178107,0.21111367411251866,0.2169558518697921,0.22434468147149464,0.23458807331063022
157,0.23663540844664271,0.2195923395378159,0.2063304002340625,0.20198330097910489,0.2994616832342628,0.2246227823729134,0.2168867134729874,0.21553468561239827,0.21410521711278024,0.21043265744943945,0.2078619950491764,0.2060779937663849,0.2051979606763879,0.2046737106773274,0.2067411392740593,0.20433125470372482,0.22583506533716313,0.19371049208171692,0.19451890010353978,0.19608448383490296,0.19923911537073866,0.1997987152623114,0.2000659140142984,0.20024050165771842,0.20338899562487656,0.20827450436203362,0.21142610584662044,0.22046670905870272,0.22674564461869384,0.23557836889854103,0.24553109765811232,0.25866863138005114,0.23458807331063022
