trading_days_to_expiration,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
15,0.431568230569691,0.41018502796314266,0.34511427192693134,0.31869113529133536,0.29027450791498244,0.25896741628736225,0.2449866880218272,0.23529300100841363,0.2356925950376634,0.23369962869153976,0.23695427731737495,0.2379938104769725,0.23635274202349268,0.24480243178389932,0.24617284889439964,0.253319252523227,0.2612026210451104,0.275414667827512,0.28219083430891445,0.29424501782310397,0.29746770333214906,0.3251153258328944,0.3286612996909809,0.3724729341645353,0.394898029515955,0.40311406623840795,0.4350738211180634
39,0.4262224299180539,0.393553700077025,0.348722652921273,0.31884004758613105,0.3103589712233796,0.2934436146173085,0.27996551380395185,0.2692969303211934,0.26162895991014534,0.25838324681557334,0.2547185350362059,0.25450199445926336,0.24907073446618613,0.25893250447881566,0.25716968263687723,0.25970043353075134,0.26398016271544655,0.27005731233095326,0.2732816857259064,0.2798149139920486,0.28167982913566436,0.2981403632740549,0.2989602266291258,0.3237342386480382,0.3353003976704291,0.3414966039801861,0.35889934989824246
75,0.42087662926641684,0.37692237219090735,0.3523310339156147,0.3189889598809268,0.30774940377661913,0.2961103773972733,0.28413307243628794,0.28175555091422705,0.27571865693188985,0.27502545454199395,0.27215538618182694,0.27115702555261073,0.26850653287856185,0.2670213869824668,0.2681665163793548,0.2660816145382757,0.2667577043857827,0.2646999568343945,0.2643725371428983,0.2653848101609932,0.2658919549391797,0.2711654007152154,0.26925915356727065,0.2749955431315411,0.2757027658249031,0.27987914172196426,0.28272487867842144
138,0.41553082861477975,0.36101832205891937,0.3375807132911109,0.32727299088576495,0.31734913827014477,0.32261622388074634,0.2979084289384894,0.2987009555842338,0.28781713022102756,0.28143472045806156,0.27909464335596273,0.2723802609744878,0.27075051147933804,0.26914787000984847,0.2607428844512909,0.26364211779169305,0.27108618610664736,0.2734453955716545,0.27930877748300115,0.2814262567465711,0.29550364038603705,0.2999133502030982,0.320866043865903,0.3349467863237481,0.3394084160316555,0.35747648142001387,0.28272487867842144
