trading_days_to_expiration,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
20,0.4104854658225305,0.37159295457386043,0.3445692380915826,0.3344757230448626,0.3005845749450282,0.2928240034755632,0.26685722082059843,0.2530598414567292,0.23782338978289733,0.21874365987097222,0.20739114100450048,0.2018971551281242,0.19441391183817938,0.19543867328695963,0.19073252357708845,0.195390545032014,0.20103053909795973,0.2041779625003736,0.20480480827159003,0.20852733013596486,0.21001634876018838,0.22096021602427143,0.21527195659760237,0.2249864327852099,0.22726624994208483,0.24608161511446178,0.23862771426262924,0.254283961464904,0.2505647951017468,0.2659182292637392
39,0.34564973305678826,0.3203630789506138,0.30622897862698206,0.2977848147708886,0.2738722854334795,0.26879582115457096,0.25348501701509973,0.2442088548522795,0.23314408225991062,0.24548993791056736,0.22769315670516052,0.2172055368100159,0.21321332114488672,0.20878654552666667,0.2123419695884235,0.21381589671674064,0.21542615141006272,0.21901821968361315,0.21220899867497706,0.21583522468106936,0.21638111888379657,0.22286141306532076,0.22053062508276788,0.22729794281488352,0.22939709196988195,0.2428914545323516,0.24369492094083453,0.2533541698741147,0.25440315364224486,0.2659182292637392
81,0.28081400029104603,0.2691332033273672,0.2678887191623815,0.2610939064969145,0.2471599959219309,0.24476763883357874,0.24011281320960107,0.23535786824782975,0.2284647747369239,0.22362751020300417,0.220994858837783,0.22050193400176923,0.22119044881518476,0.21910604799706548,0.22298552610635985,0.21953882271063438,0.22042566538497882,0.22102338322153728,0.21961318907836405,0.22314311922617389,0.22274588900740475,0.22476261010637008,0.22578929356793337,0.22960945284455714,0.23152793399767907,0.23970129395024145,0.24876212761903982,0.2524243782833254,0.258241512182743,0.2659182292637392
144,0.32620347743245326,0.3068512207094749,0.301182221103622,0.28083924072097133,0.26999199969874704,0.25581242982708857,0.24658632733316516,0.23659062901536354,0.2522079013730535,0.24495278779918006,0.24000515111039447,0.23650899337868303,0.22914420451237405,0.22752320465429368,0.22651001445402386,0.22547725946090383,0.22588091089705614,0.2256998830820473,0.2269877013259256,0.22774649524331286,0.22930920240420627,0.2311975007653928,0.23416237523676625,0.22843785139332098,0.2388047745560704,0.23916450410643536,0.25152304454197194,0.2514945866925361,0.2620798707232411,0.2659182292637392
