trading_days_to_expiration,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
14,0.5814801825038453,0.510541769975278,0.45074715991967657,0.36275081728205955,0.28943688641382576,0.26900517427364024,0.22944830094018698,0.21443522053980552,0.2065821198136389,0.2039755417596983,0.214349160106885,0.22478220879022712,0.23828703614495655,0.24308825577403056,0.24494402808887988,0.2501949610389566,0.2549099227415194,0.2617462862567108,0.2783416967903009,0.29858529210594714,0.3185889564701052,0.3350915030447336
33,0.5637455793717034,0.47296256775765505,0.423035936126481,0.36797229139256965,0.3214291494629435,0.27604320800567567,0.25807288843513815,0.24451547639196688,0.23358620346720924,0.22541513493997353,0.2242393976206963,0.22258538002483244,0.22308453501147016,0.22732273664152863,0.2339724633889779,0.24767407647720366,0.2559592498440412,0.26705298093250274,0.2821046020762336,0.304078855449185,0.32342565681041197,0.33898011845617415
93,0.5460109762395616,0.4655574318116622,0.4309199435727977,0.3972426362145376,0.3624145031690913,0.3309603552798305,0.30592533951445716,0.2949366270614221,0.28550408928467547,0.27706815427596126,0.26851342158297137,0.26446033652006834,0.25706955488260924,0.25374139904667914,0.2525210365943942,0.25281126853647573,0.251132896905127,0.27081588621843544,0.2875981654194715,0.30891555578949176,0.3273142722218525,0.33898011845617415
151,0.5282763731074198,0.4581522958656694,0.36903712506631026,0.35082695708764156,0.32757093329247255,0.3115035170321315,0.2932086912977018,0.28573951914827256,0.28141296195699866,0.2740734138688714,0.2679794110755997,0.26332732311006773,0.2588537749065325,0.2559155927887819,0.2527158456007096,0.25386059563899754,0.25643959158091895,0.27457879150436815,0.2930917287627093,0.3137522561297985,0.3312028876332931,0.33898011845617415
