trading_days_to_expiration,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,0.3303280068063221,0.23945799484626032,0.24742478839626356,0.21796288750144946,0.1988322812114465,0.19382258215289735,0.1835802258634872,0.18316368242016431,0.17385913472516876,0.17557434469294927,0.17191091727296984,0.17057342108900023,0.17754112852770446,0.18569583417826702,0.20099997413743215,0.21491944667306676,0.2351731516382775,0.2529581739610008,0.2828334838250538,0.3306653748684818,0.3592773256695485,0.3731662074455161,0.4019948560976136,0.43066144154221375,0.45958935331985545,0.46414897320069826,0.49264103114804525,0.5216888141564099,0.5511174783969937
36,0.26857250610328687,0.2335889975765886,0.22258182040414026,0.20961772207348625,0.21109466514488567,0.215373297877007,0.20831574242431147,0.20571551522491402,0.19749921789175814,0.1945799595259811,0.1913244786270316,0.18903406895764224,0.19038272648037297,0.1886940293229552,0.19238192232867993,0.19353123659808297,0.20223594165193823,0.21033959780290493,0.21635203301664394,0.27976429887455406,0.2973545271370486,0.306189886578127,0.40916150245876365,0.4378934194866242,0.46072925829006617,0.471271987687535,0.4999029769001364,0.5290459802165558,0.5511174783969937
71,0.273356280974928,0.2598135112085192,0.26174736259099224,0.2484099362841981,0.23289400326932852,0.24436959357975,0.23656535161028125,0.2326190693314836,0.23013215578378945,0.22459052828965292,0.22266645165543472,0.22017388163556822,0.2192652941214953,0.21864443567075884,0.21892322043777313,0.21863846449268226,0.21999647551897172,0.22139279011653643,0.22317440758243065,0.22886322288062633,0.23543172860454864,0.23921356571073796,0.41632814881991365,0.44512539743103463,0.4618691632602768,0.47839500217437175,0.5071649226522276,0.5364031462767018,0.5511174783969937
131,0.25640713791059416,0.2861202484762432,0.2737311398911713,0.2690087320941493,0.2654629713442945,0.25459878148610277,0.2495353288373183,0.2491712646324562,0.2490469396081344,0.24532671793962765,0.2417442961919927,0.23976617797800925,0.23775087606436549,0.23646065529541158,0.2344746638977362,0.23424259312442586,0.23443126615454388,0.2347849421617129,0.2356492300269524,0.2353509305802773,0.2391598836944059,0.24592186876433747,0.4234947951810637,0.452357375375445,0.46300906823048754,0.48551801666120853,0.5144268684043187,0.5437603123368477,0.5511174783969937
