trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,0.47753260039464274,0.513404595395661,0.49889239184858086,0.4938504775298745,0.48235580526783645,0.47781616971038354,0.47740497501397205,0.4777545567084421,0.46458353382091,0.4997998540626004,0.4814671700587126,0.48537977194971504,0.4796395902964469,0.49220744885910966,0.4559368113067734,0.5380351528783832,0.575045163740702,0.5252271475141681,0.6508275196561957,0.6739251390190711,0.6274380281575163,0.40652823176548214,0.40479397246399385
29,0.5478168310571099,0.536492621740369,0.5327652608645983,0.5367271836432584,0.5299178177661458,0.5219789723880683,0.5210902015913004,0.51945768805268,0.4298091889680178,0.4438734129294274,0.44003514670616695,0.43970504541334604,0.44055064553339346,0.44267203505008385,0.4224849235006603,0.4669916092547237,0.48897765467887844,0.4568158494316373,0.5242008285985691,0.5373041106664695,0.5162218503483416,0.4072895113786397,0.40316556320009206
72,0.47872828275176277,0.45908506240259733,0.4490022791134309,0.4173255255771914,0.42800425427926586,0.42545490579036205,0.4073546356950326,0.3962264719354471,0.3950348441151256,0.38794697179625437,0.39860312335362125,0.39403031887697704,0.40146170077034,0.393136621241058,0.3890330356945472,0.39594806563106416,0.40291014561705485,0.38840455134910645,0.3975741375409424,0.40068308231386784,0.40500567253916697,0.4080507909917973,0.4015371539361903
132,0.39972163751138673,0.4268052206103758,0.40462129065291735,0.39876414082856976,0.39576583454370273,0.3820875708927118,0.38702449439917247,0.37955371774056545,0.38769467396327456,0.3757786263417267,0.44199144765166815,0.43683495458671195,0.4468345748147248,0.4245367162739157,0.4635340942864652,0.4854966146858831,0.4640686465656115,0.5196160355026511,0.5357496382800068,0.514060555235692,0.40576695215232456,0.4064223817278956,0.4015371539361903
