trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
17,0.3508287876968212,0.3352416896856079,0.32588400530419914,0.3243956251984648,0.3164436006092163,0.3148096344435765,0.31235933446472547,0.3102339046968789,0.30928192908954233,0.30970329968451143,0.30661567234482706,0.30745004229906014,0.31025174054698657,0.30979564185352293,0.31036075772593125,0.3128378276532315,0.31819391907754807,0.3281769872861587,0.34152239415245267,0.3402766814984446,0.3540621661512033,0.3554750730556539,0.3731685141736001,0.3850213680448949,0.40350882043789127,0.4062918576158167,0.44184003874340794,0.44539560188875227,0.472669609171047,0.4724821907525631,0.49817471617792214,0.5500949783762629
36,0.3250188223783559,0.3209182730737296,0.31339368965128966,0.3075726647181052,0.30773863767993914,0.3036101086809414,0.30120194822195046,0.29977903372429837,0.2997624950784797,0.29692757450570856,0.29189087461845564,0.29203263621282416,0.2941753321881923,0.2939336562901612,0.29584472418326535,0.29625479905362195,0.3001077515873427,0.30641050823886207,0.3149943758203584,0.3141409569532192,0.32326306209585104,0.3240780780383895,0.33504257571099927,0.34101907466430104,0.3528652546396618,0.35490138098149315,0.3751022254498315,0.37709253421999767,0.3948311508741006,0.40023056348862596,0.41903419480532794,0.5500949783762629
77,0.32842644481410654,0.27643036334966714,0.28443482479932364,0.28077813064825213,0.28153235556275125,0.27817667374592026,0.27837570505621956,0.2774202602963864,0.2771734407767782,0.2770377480599495,0.2771660768920842,0.27661523012658823,0.27809892382939805,0.2780716707267995,0.2813286906405994,0.27967177045401237,0.2820215840971374,0.2846440291915654,0.2884663574882641,0.28800523240799375,0.2924639580404988,0.29268108302112505,0.29691663724839845,0.29701678128370723,0.3022216888414323,0.3035109043471696,0.30836441215625515,0.308789466551243,0.3169926925771541,0.32797893622468877,0.33989367343273374,0.5500949783762629
141,0.33183406724985726,0.25865503132501655,0.2622443736652154,0.2616282925019842,0.26014248934089235,0.2574263900654644,0.2566801475135162,0.2571391017897479,0.25650468263025006,0.2547636660060625,0.2548395662356527,0.2555708595580404,0.25467660649535334,0.25554952365410233,0.2574607246943356,0.2579420636046632,0.2585198967345167,0.2622257148185647,0.31437151949335435,0.3210336992795985,0.32396951554807635,0.33292479859736257,0.34096900264664665,0.35026280086079925,0.3542567732286245,0.3726754715452888,0.3768800070225037,0.390729537861145,0.3947374416648586,0.4130768262013055,0.4449943259044983,0.5500949783762629
