trading_days_to_expiration,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,0.6084075215551226,0.6270788369462524,0.5533171139441861,0.4903360719002662,0.4243750774702911,0.32134861191493486,0.2613461050411829,0.24558320945278542,0.22389427671643683,0.22265941660913277,0.21991621993377927,0.21624120643141262,0.19002948817949997,0.19707603430518533,0.19216199387144814,0.19228421414617378,0.19363125673421822,0.1947236879780393,0.19802374492861302,0.20200798376098716,0.20763807652139885,0.20632215974704698,0.21684935707603778,0.22120197168353598,0.23457464490372731,0.23860925780354492,0.263660194564531,0.26883701189421416,0.2917100497499308,0.31904591552368217,0.3297007133781073,0.3672909977075978,0.3628612925417024,0.39748000270376177,0.24007259293432995,0.2341121709329238
27,0.6130753504029051,0.6086384061957358,0.5375718534332061,0.4738458232927724,0.39861846108145205,0.2827433459726354,0.2530251782870401,0.23675668182796958,0.233130992686508,0.22490810826844185,0.23534028765081474,0.21733644087285356,0.22429369332947213,0.21025772574695745,0.21515474501033985,0.21152814744564435,0.21357157841021246,0.2107852765922356,0.21510123987776097,0.2158181412828266,0.21954762837109043,0.21811975780397067,0.22441893456888376,0.22512325709210257,0.23332101494249946,0.23682171420602105,0.23669820246386142,0.24738447337186056,0.25411669602556847,0.26765763657493674,0.27678520903335196,0.297719490881862,0.2975515987469829,0.31789257603741394,0.2498710133513082,0.23586978326657443
65,0.6177431792506876,0.5901979754452193,0.5218265929222261,0.45735557468527865,0.37286184469261296,0.24413808003033596,0.2447042515328972,0.22793015420315374,0.22744399295208778,0.2255024034773063,0.22129674730229337,0.2252768890077938,0.22030809089127726,0.21628872535461666,0.21657394357073323,0.214919579226159,0.21368157221616332,0.21374767224597416,0.2120297304279003,0.21279364825191413,0.21208416785746548,0.21199086681264892,0.21432707732281925,0.21059617772809255,0.21423592238051842,0.2158715478213087,0.21747524268312723,0.21797438997795282,0.2188223911885448,0.22187715797345392,0.22386970468859665,0.22814798405612616,0.23224190495226343,0.23830514937106606,0.2596694337682865,0.23762739560022503
129,0.6224110080984699,0.5717575446947027,0.5060813324112462,0.44086532607778484,0.3471052283037739,0.2527420925357594,0.24514373049284133,0.22591221545979528,0.22505170478061026,0.22270931170554278,0.23742029297934603,0.2214786316002212,0.22910165420826795,0.22550086150295814,0.2287058675100242,0.22300257402515006,0.2242299810909833,0.22196565372656168,0.22441297326818244,0.22184189654264594,0.22082405882738443,0.22056641094225715,0.22223703981476153,0.2220687515406364,0.22216786404029612,0.2213018560421056,0.22261015158387895,0.22253449134326939,0.22244759433068093,0.22262854857124773,0.22371204670442757,0.2248800566805975,0.22823722152949866,0.23027417251735166,0.2323545585992732,0.23938500793387563
