trading_days_to_expiration,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9,0.6925460759829852,0.713409321598751,0.4874105169620181,0.3981429948755602,0.36565666941298525,0.30614290316659554,0.274372031278452,0.2477453965551365,0.23496635651682007,0.22566391610348735,0.21251574376926557,0.20787633088433688,0.20481716966488395,0.2095620056849782,0.20838460500890124,0.23065462866132205,0.2378698424941972,0.2509517672940797,0.2703726765573186,0.3015443887443278,0.3221620392446665,0.3285393518567422,0.330277029572864,0.38992038598596085,0.4166861118500003,0.4342291447623506,0.4645638454930686
33,0.6977618873869267,0.568973289224783,0.43660209122078875,0.37824060938651816,0.3593841935375065,0.3932832306805357,0.367930624303622,0.3202718824082609,0.2908349285258676,0.26694602858602207,0.2536416436338792,0.24828298343656557,0.2436822114018251,0.23949725105477823,0.24366671647778868,0.2531261316258551,0.26986986132110463,0.25715837672905895,0.2656798537672116,0.28452466087151673,0.2931227999499303,0.29759758134880276,0.3002538587387382,0.3314157311313012,0.34766051606709963,0.3580732532413146,0.3775216524647973
69,0.7029776987908681,0.424537256850815,0.3857936654795594,0.3583382238974761,0.3531117176620277,0.32538216609299486,0.3078489471589623,0.31339638936787656,0.2916929474337794,0.29891595033376983,0.2800000702389895,0.2740620062940367,0.2712833842415412,0.26761139221707164,0.26637668691140565,0.26349449467823066,0.26212798176613855,0.26336498616403814,0.26098703097710463,0.26750493299870565,0.2640835606551941,0.2666558108408633,0.27023068790461247,0.2729110762766415,0.27863492028419895,0.28191736172027865,0.29047945943652603
132,0.7081935101948096,0.45597388690641655,0.39196833017755983,0.3619974466552307,0.35085794685489363,0.35840392796859066,0.355446666203725,0.3303426941556253,0.3063328607460612,0.30301484477142737,0.2907549456692258,0.282012147450279,0.27465321934894427,0.2722829368341106,0.26699526932668655,0.26545027885230044,0.2647270919938458,0.26508264484166927,0.2812657098607162,0.2948334861216861,0.29631145625596816,0.29846642020686365,0.3300755369452867,0.3447985940633209,0.35643203252327477,0.37324060360667366,0.29047945943652603
