trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,0.35023754723336736,0.1706199108804236,0.1162198904022981,0.1637874341542176,0.2368643309428089,0.2857091322366492,0.353055801558846,0.42039588660381133,0.48775084679645886,0.556333126137089,0.625032685593677,0.2273861232408001,0.24760557488454651,0.26037204466980163,0.2759762021193882,0.31352380634936516,0.3272150597274921,0.34016720227694974,0.36841216606347316,0.3858200692161741
27,0.3053331381451314,0.27664563047397406,0.21669552163521597,0.18070668972084855,0.17518385386073027,0.17772086716194238,0.1793271163315887,0.18862332121494893,0.20408952472046432,0.22154151667909547,0.2391297404827945,0.24510806762331216,0.2717137608838882,0.28684972111633505,0.3055019340735957,0.3161977637746216,0.3308874917117822,0.34326043913200555,0.376796075040629,0.38882806727468916
86,0.2604287290568955,0.20286793562750716,0.1845624586849063,0.17458427744081198,0.17320092935819748,0.17185180200611463,0.17019276090182098,0.17347924701822917,0.1776559288717044,0.18403473786966748,0.19194223447577596,0.19938920288586315,0.2074166917767348,0.21692473821097322,0.30817589149885216,0.31987019575891174,0.333980728566838,0.3516443481091614,0.37980407309914405,0.38882806727468916
146,0.21552431996865956,0.19155846887062083,0.1822361002030184,0.175325528961882,0.1731089067447745,0.1719683595354184,0.1708531024899525,0.17270207508943888,0.17365067327340353,0.1767445658934034,0.20966417885828803,0.22349738888520485,0.23389436822326823,0.2464504701651807,0.31084984892410866,0.3235426277432019,0.3370739654218939,0.36002825708631725,0.3828120711576591,0.38882806727468916
