trading_days_to_expiration,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8,0.42385732083892597,0.42385732083892597,0.456044096807421,0.6224958575986147,0.4201790338443864,0.3148973749474778,0.22192169795337868,0.3539619244287354,0.21929494961910792,0.2168251912648057,0.19071818052736847,0.17265385707421432,0.18183353133124192,0.18078793733795917,0.17310672355629625,0.18011920807968948,0.17552118157456362,0.178184216074401,0.1787428885683774,0.18353196861849352,0.18697297582240174,0.19254006179176167,0.1985780999193814,0.18889176672437974,0.21009604462943385,0.23259087566623385,0.2145060813905948,0.23899843799715623,0.2562228403493423,0.2972068370247087,0.3386413567700054,0.3562006247818047,0.39637177938739837,0.5030953296918399,0.2330015091611734,0.22803822651124364
24,0.42385732083892597,0.43190401483104973,0.4976570370052194,0.5719166516600576,0.39385861912015924,0.2885769602232507,0.22550218268399785,0.2914413313245328,0.22100112309691167,0.20399911209530547,0.1949892165316753,0.2114485203884369,0.20465608293006698,0.20102367430952417,0.19875324832476626,0.20317380506551236,0.2026949666595226,0.19995506811520336,0.19765197436464096,0.20126330518053565,0.20195299154104832,0.20775015582278347,0.20196355806729285,0.2105475028923303,0.21171125817117026,0.21738653726748908,0.22280932161076564,0.22999960311843726,0.23376119839465978,0.24223793775983446,0.2531122922294213,0.29111345676710815,0.3134558992852795,0.369821500210359,0.24028870022995746,0.22891610768185577
62,0.42385732083892597,0.43995070882317344,0.5392699772030178,0.5213374457215005,0.3675382043959321,0.26225654549902355,0.22908266741461705,0.22892073822033018,0.22270729657471539,0.2190238698318793,0.2231485840386352,0.22268111284347025,0.21265765567654435,0.2219888597446574,0.21163084460505313,0.20896759918675925,0.2083955653539975,0.2131690558538899,0.20703427236703978,0.20669272929192048,0.20654972952744133,0.20787354084222123,0.20735712321052577,0.20872179037896396,0.20885304637382143,0.21089216716717946,0.21139309786297633,0.20603295599887475,0.21414293175411822,0.21655461320130742,0.21915321125002055,0.22602628875241162,0.2305400191831606,0.23654767072887808,0.24757589129874155,0.22979398885246793
126,0.42385732083892597,0.4479974028152972,0.5808829174008163,0.47075823978294346,0.34121778967170496,0.24208912172620112,0.2915222959216762,0.22410784391971905,0.21976624391976055,0.20487102517962388,0.23196055505118177,0.2240212451396445,0.2270044391956164,0.2262019189277806,0.21903085482031892,0.2257946105561942,0.22386522272138584,0.21671842251098797,0.21522355257106818,0.21541960011056707,0.22089029250944045,0.21400114880744248,0.21930198300895265,0.2197053318893376,0.2191814257638117,0.2176058529992265,0.21753317296160768,0.2147941203732612,0.216820018330193,0.21668905517016995,0.21955781175321057,0.21578118382596653,0.22206001136242176,0.22571431809238932,0.2271603453406315,0.23067187002308007
