trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5
13,0.2855367282701323,0.26757650990167076,0.2577016494268302,0.25576953443873607,0.2534120439045816,0.2575303384385696,0.26154940561009565,0.26838484746962815,0.2877907282506814
32,0.2750087196688958,0.2691856937171866,0.28354289263580534,0.266638559126011,0.2648303600739069,0.2700543479696554,0.2710261046479671,0.2774808393664185,0.28497158634879305
75,0.2844749439897538,0.30525732306993864,0.2985467588507168,0.29512534436281257,0.29421988801918597,0.290114081074744,0.2773093333740244,0.2898548251999884,0.2821524444469046
138,0.27602572694571226,0.29160850771521246,0.28615608057839015,0.2799211228550035,0.2799187377564608,0.28804480234368124,0.2795193646784609,0.2906098701525698,0.27933330254501626
