trading_days_to_expiration,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8,0.5489221565577123,0.4585271711971906,0.4073174299299629,0.3233492474987132,0.3018455006819914,0.2703310211065409,0.2717044937135129,0.23286878639808492,0.22066191350367476,0.19816128931562288,0.19050031897065078,0.1665204883057054,0.16532862535716616,0.152353268512167,0.14959306996709532,0.14830585809964855,0.14952566093070835,0.15379295105972082,0.16094195259131344,0.17017335123069374,0.17490328098018565,0.19189045314224937,0.19880193613475544,0.20221347243864551,0.231591820216868,0.25976298354995575,0.25504872005721313,0.3157280241654764,0.3449064598000407,0.38783431871010254,0.4314352820824029
28,0.5263234102175819,0.4457247358803837,0.38632538432215047,0.3179733107945327,0.29396688078812877,0.26346078230753633,0.2510390056006174,0.22696347615507934,0.21310582297407765,0.19293276937446155,0.1994846383582656,0.17824276943747602,0.1722063231068679,0.16249601669448496,0.15942186284339555,0.1563482574458911,0.16064105781987717,0.1646201119234376,0.174429867683689,0.1833835290028043,0.19013899927300748,0.1897235897000384,0.1945667745031544,0.20955805938320113,0.23863461105013994,0.2585844176767701,0.270218546084279,0.3230226330741175,0.3556384245275562,0.3987345595531776,0.4314352820824029
73,0.5037246638774514,0.4329223005635767,0.36533333871433804,0.31259737409035226,0.28608826089426614,0.25659054350853183,0.230373517487722,0.22105816591207375,0.20554973244448058,0.18770424943330022,0.1813956445655486,0.17994222670732654,0.1703079054528373,0.16789798170031786,0.16620005172681285,0.1641239378869911,0.16376517102781737,0.16513325805092885,0.16715210627280833,0.169445549182158,0.17866171940568149,0.1875567262578274,0.1903316128715534,0.21690264632775674,0.24567740188341186,0.25740585180358444,0.28538837211134477,0.3303172419827586,0.3663703892550716,0.4096348003962527,0.4314352820824029
132,0.48112591753732104,0.4201198652467698,0.3443412931065256,0.30722143738617186,0.2782096410004035,0.26414751861102237,0.23162115194290345,0.22086003970787427,0.20185551088005171,0.1891022842019755,0.2317319474810475,0.2202708593030605,0.21293819369933367,0.2072730573705305,0.20082922203784304,0.19725121244336136,0.1932619739883657,0.18978375886661236,0.1881178141932687,0.1872153488099084,0.18567124218145425,0.18538986281561642,0.18609645123995236,0.22424723327231239,0.25272019271668383,0.2562272859303988,0.30055819813841056,0.3376118508913996,0.37710235398258707,0.42053504123932783,0.4314352820824029
