trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2,0.9311266485337606,0.9311266485337606,0.9311266485337606,0.9311266485337606,0.9175780431411907,0.7785172134686171,0.7514454389119621,0.6120599725189154,0.4897219455027725,0.39461378116797763,0.2880509924780943,0.19842724554492003,0.1840812591553789,0.13372145066098423,0.13508880596183256,0.14073477635123968,0.14543679715123312,0.21616872395648948,0.22223361768599634,0.267933738724033,0.27493327063370326,0.33654571176615117,0.3452492157709769,0.41547137244427135,0.48560869629150055,0.5571062321305249,0.6289240208215455,0.6289240208215455,0.6289240208215455,0.6289240208215455
20,0.9311266485337606,0.9311266485337606,0.9311266485337606,0.9277394971856181,0.8828128357230474,0.7717492698294534,0.7165990723137005,0.4838514353586598,0.4132558575372441,0.3612088546692288,0.2928997695572741,0.2461792478261954,0.2305355380456103,0.22570597889068533,0.22584359684069222,0.227291581989179,0.23429574460729977,0.24983325278805232,0.26287508909517737,0.276792711897523,0.2648026868114211,0.2987808357687287,0.3066721515109385,0.3457471147124449,0.3868671375255758,0.5750606793032801,0.6289240208215455,0.6289240208215455,0.6289240208215455,0.6289240208215455
65,0.9311266485337606,0.9311266485337606,0.9311266485337606,0.9243523458374756,0.8480476283049039,0.7649813261902896,0.6817527057154388,0.3556428981984042,0.3219654687474491,0.29689130724823964,0.27422728523609646,0.2521900873558761,0.24607103561102364,0.2425511954195444,0.2395926955326837,0.2365617254912832,0.23749832409647884,0.2383355821948421,0.24475301340873326,0.24917922435256792,0.25467210298913895,0.26101595977130626,0.2680950872509002,0.2760228569806185,0.28812557875965095,0.5930151264760353,0.6289240208215455,0.6289240208215455,0.6289240208215455,0.6289240208215455
124,0.9311266485337606,0.9311266485337606,0.9311266485337606,0.9209651944893332,0.8132824208867605,0.7582133825511259,0.6469063391171771,0.42268242185058835,0.3582896249577133,0.3617434852611104,0.3390456139837298,0.3190239973471694,0.2989973841649313,0.29319005765579403,0.2852365294994849,0.28031505831795706,0.27692721490432215,0.2735281413242824,0.2725775278387498,0.2717609130582327,0.2714453920469631,0.2707030133681553,0.3417832298475858,0.38081577663605953,0.4226159054450879,0.6109695736487903,0.6289240208215455,0.6289240208215455,0.6289240208215455,0.6289240208215455
