trading_days_to_expiration,-2,-1,0,1,2,3,4,5,6,7,8
16,0.24258100369076324,0.2086558331952799,0.1807125790711297,0.1668404426749408,0.16387756630095035,0.17224582133782793,0.1902165482807,0.21361651819478417,0.2460273154031784,0.2445148673160622,0.2181270000840716
36,0.2248424107716656,0.20471495271745196,0.1934602780362902,0.18211869837885292,0.17420533309343886,0.1671739216360863,0.16701471068799817,0.2081260866811277,0.22702656671041838,0.2277790382915897,0.22166889549254878
59,0.25279772034255477,0.23927191245639484,0.2249877127844565,0.21793987266249504,0.20853086377426264,0.20464180769346452,0.2017422739057837,0.2026356551674712,0.20802581801765835,0.21104320926711725,0.22521079090102597
119,0.23072677676891734,0.3299656298665285,0.3200304699556423,0.3050782099381588,0.29399016564941194,0.286367504607209,0.2743242565427114,0.26502806409593843,0.26125069634053466,0.21458510467559444,0.22521079090102597
