trading_days_to_expiration,-1,0,1,2,3,4,5,6,7
8,0.22931198146682105,0.21047186310980148,0.21640534944894893,0.2202417375656226,0.22602641476869967,0.2285921384727233,0.2595833463344037,0.3057436248192339,0.28261511615022805
27,0.2794029594507411,0.2706884127760477,0.26768188480690513,0.270997976927909,0.27035202779012646,0.27064532100520156,0.2801850753969105,0.28725672030283295,0.28007872293863945
70,0.2564259273370946,0.28800737816476435,0.2828167294533144,0.27365865647010845,0.26620783514096696,0.2717230674055715,0.28130986079688197,0.2755824224122168,0.2775423297270508
133,0.23344889522344803,0.2807551293480747,0.294200924320023,0.2818889013505507,0.287533381587245,0.2884903715443753,0.2816939842396,0.2851515093618167,0.27927487981098126
