trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7
9,0.4451131815902931,0.4286883491200719,0.38997114949424416,0.2620164544777402,0.22618810682028026,0.16015526156401166,0.15569652102965692,0.160578375580857,0.17798781765011304,0.21561893915300762,0.27124464300851564,0.27680817885966313,0.31044806016245274,0.3248119468158222,0.23011508720662174
29,0.4451131815902931,0.4204759328849613,0.37882496591644094,0.20918529054729143,0.19023197861644967,0.18038204593760984,0.1782343689477144,0.18119030475315548,0.18280082059519356,0.191401755177331,0.20579363560427172,0.21037872329493326,0.2196502621448572,0.2779978913496994,0.23104261095484901
49,0.4451131815902931,0.4122635166498507,0.36767878233863766,0.33495756940758237,0.2998301081879221,0.2798043034089892,0.25025188887483935,0.2333399765470118,0.22472811051878808,0.21981703090907337,0.21982240147512055,0.22435273466367148,0.2244865630594246,0.23118383588357658,0.2319701347030763
108,0.4369007653551825,0.40111733307204744,0.3148476184081889,0.2805728381139313,0.2847334819452022,0.27073897721922546,0.25995867288458296,0.25024569145764347,0.24299122720209435,0.23743517019210145,0.2301015268548315,0.2302486463052717,0.2280398840896985,0.22918756345839447,0.2292096205922372
