trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
14,0.2546133264220782,0.23274715119519765,0.20462417078127276,0.16419728514144444,0.15683994514138036,0.14739969820224919,0.14255621045249853,0.14231712937500599,0.15075443791425536,0.14219532067861626,0.13785661423587076,0.1414458543249088,0.14187647928251151,0.1520575014177333,0.17141530181755368,0.1942492173468227,0.15890036113786288,0.15954228928928849,0.16378097030767844,0.16590829578405505,0.16740719118063196,0.17574596419566918,0.18621300384587072,0.19848745267285783
34,0.24914678261535805,0.20062841452727312,0.18360695309646513,0.16159911932412563,0.16814315519022016,0.15374076977960127,0.1445616148662452,0.14411370374603485,0.14114024936634154,0.14112940524344103,0.14237757957536565,0.14633550540725598,0.15181012250942252,0.15856341495568727,0.1607800512337888,0.17295623065232732,0.15587266559641286,0.15674846337438447,0.16273437123714038,0.16460121155291274,0.16946652450363706,0.1778560173801827,0.18933647048645796,0.2015012104457641
54,0.24368023880863793,0.1685096778593486,0.16258973541165753,0.15900095350680685,0.15815295585163086,0.15297017413965605,0.15081347698446143,0.1468345646199176,0.14907838370884255,0.14729542057356068,0.14792931955120187,0.14765499451130654,0.14870056338962093,0.14954504053431125,0.15014480065002392,0.15166324395783193,0.1528449700549628,0.1539546374594805,0.16168777216660235,0.1632941273217704,0.17152585782664218,0.1799660705646962,0.19245993712704523,0.2045149682186704
114,0.23821369500191777,0.17048764308877537,0.168992894899518,0.16848955214055344,0.1634422676073203,0.16038872879766497,0.1602009017971961,0.16243837362782554,0.1612937436975128,0.16047612041659676,0.16069450303815122,0.16052317817127235,0.16182019982667467,0.16101620905311267,0.16189891020538832,0.16192805667931293,0.16233611520419247,0.16482756937821647,0.1672153800151974,0.16534785785762685,0.1736359110111557,0.18308953720528348,0.19547369489995153,0.2045149682186704
