trading_days_to_expiration,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
7,0.3538285786030709,0.2915815466612389,0.24273468053896252,0.24405981371460447,0.24584743479492555,0.24990004222034293,0.2592873516981274,0.2832330075537085,0.3164827339772929,0.338396116786037,0.37008865785884537,0.40639053031004024,0.4394396713108351,0.4578132831721099,0.2888674341213293,0.2917475082767414,0.2954438460152526,0.2975898617645357,0.3035256344786078,0.30846052289491394,0.31571103235400055,0.3270271148825934,0.3313619388299509,0.33683571545820923,0.3423283966068068,0.34813219809486123,0.35507718322152626,0.3616705504103204,0.36790604323017667,0.3743661889155727,0.38625636921794887,0.4096044046919963,0.43331932870724343
24,0.30078355789771877,0.2861672482555173,0.2803606922351506,0.27795375141447715,0.2766509776340243,0.2791091703203326,0.2810523639592939,0.2828857530875919,0.29063395387270446,0.29730252201942714,0.3041977222089108,0.31186097133795,0.31937270851271066,0.33973328987765883,0.29252976188983476,0.2940833079653634,0.2994328547926537,0.2997661025637577,0.30824019316576545,0.3132562726659584,0.3214580461093362,0.32693814239155417,0.33361832329466884,0.33731621930762046,0.3445942333316944,0.34876826211400086,0.3579136117657191,0.3621308054605247,0.37056353458990055,0.3749387703985468,0.39162887788616285,0.41590591376080605,0.4388752816460572
48,0.29031235637510155,0.2847161753511056,0.28047748701884345,0.27695327955487414,0.27756798490882195,0.27838481353777567,0.28004512098967516,0.28234474444516855,0.2843322660345419,0.2855460496392222,0.2877752889762667,0.2879500204033286,0.2909045804617221,0.2918682323763478,0.29619208965834015,0.2964191076539855,0.30342186357005485,0.30194234336297965,0.31295475185292315,0.3180520224370029,0.3272050598646719,0.32684916990051494,0.3358747077593868,0.3377967231570317,0.346860070056582,0.3494043261331405,0.360750040309912,0.36259106051072887,0.3732210259496245,0.3755113518815209,0.39700138655437683,0.42220742282961576,0.44443123458487105
112,0.2890869438166195,0.28542668482859923,0.2839028389093609,0.2810197818890294,0.2796829771389479,0.28017940236170485,0.2804678831280358,0.2799576191035378,0.28043171548239454,0.27913583174962603,0.28215437822431355,0.281424633676244,0.2830733216143059,0.2852051063528239,0.2894117085881193,0.2914548372378514,0.29541362096531376,0.2988110757914501,0.3036647731238694,0.30996401859866485,0.3271160873736327,0.3291055543652329,0.33635521160879805,0.34006255988191925,0.3474961340757216,0.35224075467733335,0.3612102953601162,0.3652485518704528,0.3737936074325986,0.3808838605497349,0.40330289562318655,0.4277633757684296,0.44443123458487105
