trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
12,0.23702584270222388,0.22828173876982502,0.2162371879489437,0.21015658544085586,0.2191198569887484,0.2137560388903353,0.20979575836030728,0.2000538266323815,0.20253738926715376,0.19322873961420842,0.20079409039608048,0.19687084899023122,0.2056475079196054,0.2010748918302642,0.206441007207018,0.2119986331067579,0.21679764321390027,0.22064737821497754,0.22284766064362477,0.23228989458389812,0.2353484665698524,0.241941453615645,0.2588216586626815,0.2672433671673641,0.27791460093226106,0.2993108875874144,0.22294995513301857,0.22699941695935255,0.23279675799033664,0.2385130866492509,0.2257702442110423
30,0.23702584270222388,0.2239096868036256,0.2145869645047025,0.20876650763105314,0.21227284172602623,0.20870530553577188,0.20649022139398854,0.20303492803201806,0.19704552905788045,0.1929904147362348,0.18715754106238797,0.1925273342363503,0.19597503541896227,0.19979084259789057,0.20898280833756577,0.2188081234075481,0.2085396238053237,0.21089453250396478,0.2134221597899567,0.21829946566641012,0.22213616853905127,0.22629325491985908,0.23617512347704045,0.24164716799084807,0.2499786346495061,0.26421967734315344,0.23096689477920926,0.2370456468387464,0.24702438534863919,0.2549015843956485,0.22710071391635958
50,0.23702584270222388,0.21953763483742617,0.21293674106046126,0.20737642982125046,0.2054258264633041,0.2036545721812085,0.20318468442766982,0.20088330459378645,0.1992086122446971,0.19878780418503905,0.19600802894085248,0.19618641988495564,0.19335209091084157,0.1963595657274431,0.19833717320743896,0.19745961460777495,0.2002816043967471,0.201141686792952,0.20399665893628868,0.20430903674892212,0.20892387050825015,0.21064505622407317,0.21352858829139942,0.21605096881433206,0.2220426683667511,0.22912846709889245,0.23898383442539997,0.24709187671814023,0.2612520127069417,0.2712900821420461,0.22843118362167686
114,0.23265379073602444,0.21788741139318493,0.21154666325065857,0.21324814340499942,0.2095909326768197,0.21960387665236553,0.21486002366699472,0.21546912344235353,0.2117288821685645,0.21514982717715053,0.21360504563315175,0.21049371583226778,0.21204196693622693,0.21067746845700716,0.2097240194534619,0.20819622148352365,0.21065291700127844,0.2114311261645746,0.20954995546099847,0.20954734621946478,0.21142630734544798,0.21168430005025687,0.21263871549485192,0.21364640006833938,0.21262524325176993,0.21493301548682786,0.21695318707995873,0.21856913063203412,0.22212458890285328,0.224439774505725,0.22976165332699416
