trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
4,0.3028492879013403,0.3708905335857681,0.28728369906247897,0.19545079973090587,0.14243898749181497,0.15093775290275668,0.1748844990814933,0.21265187796968216,0.2514630259082848,0.3157423225165819,0.37050119397326886,0.4112918689300792,0.4451027648064947,0.5195271863661985,0.5505980806782763,0.5656955126834068,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571
19,0.3028492879013403,0.2589300525402548,0.2246704718000484,0.20050007026650246,0.18737856753613868,0.1832315846553972,0.1832020915689366,0.1819221369469557,0.190265535926824,0.20448926931569875,0.22336539451720397,0.3217311818847579,0.33858330309296947,0.3771158706281856,0.39500129776459586,0.40701998624324603,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571
64,0.32552970312948293,0.35726239267279836,0.32801578224859723,0.2993994162358506,0.2759494691389843,0.25720336214153044,0.2492751527420216,0.24507802231645295,0.2401503755522632,0.23598251994883837,0.23480623276181362,0.23217049483943666,0.23206384137944425,0.2347045548901726,0.2394045148509154,0.24834445980308528,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571
122,0.3482101183576255,0.31961411413217,0.30098566313346176,0.28673282192567734,0.27222632745696407,0.2607530526221628,0.2561416514427159,0.25260177127116834,0.24944064779461728,0.24544857675432608,0.24212138049920584,0.2389838605094349,0.23838485928615422,0.23955289045003203,0.4025500137671611,0.4535493170208212,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571,0.6587541742385571
