trading_days_to_expiration,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
6,0.20527388358786705,0.45304841513079136,0.354308227991446,0.28027305852734896,0.18475057299386344,0.17132345314220204,0.1739752356844094,0.11269067692249449,0.12449493610737399,0.11093166021433275,0.12027633469322567,0.13337791291883647,0.13557203305595616,0.16270508735366396,0.16557859648549408,0.19404849994615092,0.19670672065209127,0.21809678847553093,0.22139482047283549,0.2586117723908066,0.26273200213826825,0.30409711489362773,0.17445453571178232,0.1795987483653679,0.18598548122639122,0.21432971275038976
25,0.20527388358786705,0.32328867708067294,0.2732253242001774,0.23221681885012616,0.18231431066955012,0.20443622754403434,0.1757459035069141,0.17367592898814557,0.1574012910785814,0.15310238075825736,0.1482855150166843,0.149122128485092,0.14837152795837022,0.15521408816581525,0.1653570431395669,0.1796174434865023,0.1797565395841045,0.1939593705386532,0.1956538220726886,0.21714702163927568,0.2194192632729134,0.24264081220637973,0.17868405884353342,0.18660948280778475,0.19853256417828574,0.2159547455604945
45,0.20527388358786705,0.19352893903055454,0.1921424204089088,0.18416057917290335,0.1798780483452368,0.17312436949041518,0.1704274307558129,0.16764857029327446,0.16500598212252077,0.16369634411086958,0.16005260788772357,0.16158539139124536,0.16152015524612084,0.1626270913389508,0.1609966058144124,0.16518638702685368,0.16280635851611774,0.16982195260177543,0.16991282367254176,0.17568227088774477,0.17610652440755856,0.18118450951913176,0.1829135819752845,0.1936202172502016,0.2110796471301803,0.21757977837059922
106,0.3291611493593292,0.19386952510559344,0.19092911206672145,0.18718683531817676,0.18338151186276866,0.17798239303907312,0.17738347623784914,0.1730459869888057,0.171729167550502,0.16956306224233547,0.16717397838153158,0.1677835735749337,0.1666350194314463,0.1648228975141628,0.16701057430816424,0.166569229835321,0.16745793016204427,0.16741358900210038,0.16742345950555773,0.1672533436774413,0.17187161661182893,0.17022501258003123,0.17258801392295106,0.17343839827449667,0.21270467994028502,0.21757977837059922
