trading_days_to_expiration,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
9,0.2340612991489231,0.22445329501168737,0.20967967715296032,0.20447076520218238,0.24752410244118866,0.22803674480712216,0.20942294539284098,0.2135146516241712,0.2148170958516251,0.21405684410024153,0.21706118644386374,0.21882372720684765,0.21938473730879995,0.22582551906362497,0.23383898780377677,0.2354054595008303,0.24378511086146737,0.24043825285075632,0.2449665640190859,0.25932483233078507,0.25803501882870633,0.27872428585892217,0.2827541042197427,0.30045943306204104,0.2883292217682989,0.31539379508481236,0.35481883611421167,0.22844330461655624,0.2312378586669895,0.23707894327060416,0.24722096502718263,0.23452333908652245
27,0.2340612991489231,0.21964929294306948,0.20709687029221469,0.20444911608753905,0.22748130924037685,0.21542979139937726,0.22940624440302793,0.21785086871446846,0.2100883237716137,0.20491729892092395,0.20139951399724584,0.202910272360072,0.20709827373724118,0.21032639944067483,0.21461264898917284,0.22230447986492513,0.23100694639375424,0.2246442758861906,0.2272770501591016,0.2366596177904524,0.2364824302004101,0.24885480471773191,0.2521210264722403,0.2615416340205072,0.2584072644889885,0.2747309663587895,0.2953358462863811,0.23703676848735836,0.23994384618894896,0.2503432876704896,0.2648996737245597,0.23549715790436404
47,0.2340612991489231,0.21484529087445162,0.20451406343146905,0.2044274669728957,0.20743851603956506,0.20282283799163237,0.2036124259093716,0.20414771725421052,0.20340714191542208,0.2019248080035558,0.20541178931919407,0.20001733666647617,0.20428932481866194,0.20361668960037368,0.2046115556253012,0.20681426054927424,0.20439694285410742,0.20885029892162488,0.2095875362991173,0.2139944032501197,0.21492984157211387,0.21898532357654163,0.2214879487247379,0.22262383497897334,0.22848530720967805,0.2340681376327667,0.23585285645855053,0.2456302323581605,0.24864983371090843,0.26360763207037496,0.2825783824219367,0.23647097672220566
111,0.22925729708030523,0.21226248401370598,0.20449241431682572,0.2259757847070422,0.2177376304233436,0.22275180598445343,0.21724356771183198,0.2150097186647322,0.21467713958710827,0.2136456490865494,0.21447536248349733,0.21506942081629055,0.2141567752855144,0.21353800565248654,0.21380812195350982,0.21152009925522344,0.20941084751164668,0.21281636222237849,0.21429616943846663,0.21342779037424445,0.2136524055218282,0.21541108599709324,0.21597647260756936,0.21676722684733443,0.2184715690973905,0.21848998465625136,0.2198498407457541,0.22253187114503004,0.22381459887071878,0.2295422563298056,0.23354952026868084,0.23744479554004727
