trading_days_to_expiration,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13
15,0.5914348216434516,0.5248145975778655,0.46467877971461374,0.37538113886883084,0.2956922517611265,0.2634052723164654,0.23899823186219618,0.22422655673651096,0.21574316533485574,0.2168725113987685,0.22180306035625372,0.23320228935372778,0.24339299659564104,0.24657403437165415,0.2506096584484401,0.25715305711160263,0.2657302423781883,0.2838560452126421,0.3060588045798602,0.32341150910304484,0.3373589051305007
34,0.4629218307670246,0.41426514856329155,0.36826227508190795,0.32131016334624585,0.279343596113755,0.2592438229031468,0.24894915510885202,0.2373937865404224,0.23209209130838204,0.22808338639589745,0.22897246263439827,0.22966213655117892,0.23129179612984604,0.23904597409369788,0.25125408358800944,0.26124094505328516,0.2740062041176234,0.2871393255776484,0.31236529758059745,0.3270935796105273,0.34078068030382513
94,0.4835527530373049,0.41766934152801266,0.38557059048650194,0.35529881337642877,0.32924549610378245,0.30552800088841603,0.2928742691291027,0.28458101398818053,0.27758293542247214,0.26884408373203733,0.2639454379086199,0.25698156754395785,0.25381259540361895,0.2514333409413973,0.24897728122823756,0.24917831889931827,0.27728948448262963,0.29344581857838564,0.3160473680880799,0.33051535478385174,0.34078068030382513
152,0.5041836753075852,0.3653264459883258,0.34205256429118774,0.32393564554200477,0.30590699990814746,0.29049633228392274,0.28333947635317513,0.2787034774949889,0.2697413370928674,0.26708250316478555,0.2615760609873431,0.2590557958940032,0.2541020946496104,0.24996523330887066,0.2530651691699201,0.2574542806387533,0.2805727648476359,0.2997523115791229,0.31972943859556235,0.3339371299571762,0.34078068030382513
