trading_days_to_expiration,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,0.2099590504911289,0.21364371737606333,0.2099310802320632,0.26628698372905873,0.21290313743782177,0.20541871223242994,0.20062388083520594,0.20376222492887036,0.19726918691458412,0.21411250935503187,0.21903930679742395,0.2300447606737397,0.2378872592727538,0.26252243961045685,0.2691954082255081,0.30277431091674945,0.32274586006152384,0.33849220383989526,0.33561033936391355,0.3606182789207573,0.38788953076487603,0.36648649771191033,0.38039472233373106,0.41229454400689725,0.42767156908412846,0.4919165213585802,0.5074976726538538,0.2306366749512663,0.2392862074591364,0.2457202302212089,0.2550597351249119,0.2637364538616258
23,0.2099590504911289,0.21548605081853056,0.20623242821759588,0.23332096257768153,0.2148225780910582,0.2043998833196361,0.19950831831342225,0.1982568057603953,0.19671244011834627,0.20582314906509228,0.21167398808106475,0.22215156757444873,0.23638032156144967,0.24981845540880993,0.266133050769375,0.2546101995928338,0.26628229322036434,0.2742257208445449,0.2750203045784485,0.2887179275876257,0.3054178884263249,0.2946099779856451,0.30739582937941273,0.32195393982293496,0.3333731400065103,0.36762476400961597,0.3790171869545771,0.24206421879876616,0.256214429712991,0.2643762640576043,0.2782926709937389,0.28812478244628736
43,0.2099590504911289,0.21732838426099776,0.2025337762031286,0.2103901940361691,0.20230396863392458,0.1965923217919725,0.2002909008893539,0.198950190081326,0.1997681732329601,0.19734725296956676,0.20038586607552697,0.19926532795486313,0.2030116583752423,0.20060131750514604,0.20549186253819407,0.20644608826891825,0.20981872637920487,0.20995923784919446,0.2144302697929834,0.21681757625449413,0.2229462460877737,0.22273345825937987,0.2343969364250944,0.23161333563897263,0.23907471092889213,0.24333300666065166,0.25053670125530036,0.253491762646266,0.2731426519668456,0.2830322978939997,0.3015256068625659,0.312513111030949
107,0.2118013839335961,0.21362973224653048,0.23441037996609365,0.21164666573699542,0.20890979135916699,0.20480314785488715,0.2061489861587548,0.19913649737087002,0.20436736607692618,0.20443264432268224,0.20352073687850128,0.2048649664915318,0.20506198069887469,0.2038601044051052,0.20613699122930004,0.20457424299169172,0.20643336120219427,0.2078890381108832,0.20842470362771587,0.20871316999400247,0.21073173082642066,0.21088409763278632,0.21277047697344403,0.21486182377977212,0.21643391876480428,0.21651917456818087,0.21920913110376647,0.22235798520528177,0.2270641963848135,0.23182679925608493,0.2393481252769642,0.2449416646339394
