trading_days_to_expiration,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
18,0.31082233557228894,0.28307544427215087,0.252973430338946,0.24234584545864601,0.22284756200496605,0.21825829726271626,0.2017854470680252,0.2039233765224833,0.19333524824187726,0.18866745729759027,0.1842180079306621,0.1813518783777645,0.17934053868591357,0.18212918224698205,0.18059519778546343,0.18281165400696936,0.18527520839973619,0.1871225934062831,0.19130054216007175,0.1919399774161568,0.19996414670315493,0.20602539133266623,0.206891378330709,0.21001621640560364,0.21011233865358603,0.22912514891284444,0.22871123417859862,0.24542176938447022,0.2757146835610762,0.2938503542446142,0.33161082118092045,0.35491850244644213,0.36483605314641554
42,0.30388561274725445,0.27554994078884965,0.250316534118871,0.23747127459522602,0.22389250476448602,0.21441641306161507,0.20529160262402046,0.22179311458110543,0.21095100975795913,0.20377020803084464,0.19749593758052367,0.19329991021498757,0.1886036404103555,0.18851097352595106,0.18908949832762104,0.18913949870578983,0.19182728108843466,0.19163290396370486,0.1938395039163378,0.19494925984223718,0.19780265627201082,0.2015038200599671,0.20130569130910042,0.2044098509539889,0.20457800241817417,0.2148139814989513,0.21528696169859898,0.22414926635012417,0.24048537556759458,0.25062635284412715,0.27311970927806045,0.28811073929879455,0.29759459787716114
82,0.2969488899222199,0.2680244373055484,0.247659637898796,0.23259670373180602,0.22493744752400596,0.21057452886051392,0.20879775818001572,0.2007003902170715,0.19927019965118073,0.19655164263251426,0.19706665633204662,0.19584543784272754,0.19501386996302306,0.19487918522384326,0.19432463781709425,0.19540276559152925,0.19475505848985972,0.19614321452112662,0.19637846567260386,0.19795854226831758,0.19564116584086674,0.19698224878726792,0.1957200042874918,0.19880348550237414,0.1990436661827623,0.20050281408505816,0.20186268921859934,0.20287676331577814,0.205256067574113,0.20740235144364014,0.21462859737520046,0.221302976151147,0.23035314260790674
147,0.29001216709718536,0.2604989338222472,0.245002741678721,0.22772213286838605,0.2215978723933611,0.20617998796426956,0.2260792617559135,0.2196853058039055,0.22026061051631285,0.21468683677224573,0.21254566257612495,0.20826415626194758,0.2049633622764796,0.20452686875384804,0.20288352914363877,0.20780865912097454,0.20182256749060543,0.19825606937162768,0.1941592215443803,0.19896134448573627,0.20083327858676647,0.20193681355898846,0.20286811034654773,0.2044579120779801,0.2140844075478034,0.2146070241318284,0.22364222930153477,0.23929572343842717,0.2495532109093636,0.2695065863122803,0.28477354991082127,0.2930695146487813,0.23035314260790674
