trading_days_to_expiration,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
17,0.2810214972931405,0.2536377007411561,0.23523641425482977,0.2284641480329042,0.21625716182433202,0.21795528253452123,0.21379464257682046,0.24248220662829242,0.22060600543369502,0.20713475064263803,0.20652301665998177,0.20324630718340336,0.20763930386530494,0.20762773687495487,0.21014928995193044,0.21554604407919933,0.2307399652429709,0.24994250626058495,0.28357665083851574,0.28531853274412067,0.21398736501655202,0.2155476820261057,0.219913542270241,0.2207786505201842,0.23055623448196363,0.24070430551841274
37,0.2810214972931405,0.2445097685571613,0.2327045315399581,0.2306049411458005,0.2131094807573805,0.21886062737187204,0.20672227614784278,0.21125341437617537,0.2029453532820503,0.20402712145865723,0.2015142157516187,0.20150933460843468,0.2041000620243484,0.20633231549065867,0.2045497880897915,0.20443893869805924,0.20641809244733672,0.2076547740122144,0.2098640515098338,0.2095989683251532,0.21366694718511045,0.21477558660371704,0.22137157136013155,0.221966308029001,0.23458688667863517,0.24812842225358012
97,0.2718935651091457,0.2403001796845731,0.22418256180711166,0.22255252395823502,0.2161445928598196,0.22793937543477585,0.21941511655205093,0.2192030054750925,0.21557212294070385,0.21899245075942272,0.21474743408287555,0.2136569549063628,0.21226240403956628,0.21139912062330585,0.21328220322057692,0.21177197206250808,0.21421785488333517,0.2064839013894826,0.2149678162151085,0.2146282006794352,0.21709187287088297,0.21699748409045996,0.2184033355025506,0.22249493008862054,0.22585607204807798,0.24812842225358012
161,0.2627656329251509,0.23776829696970142,0.22632335492000794,0.2194048428912835,0.2170499376971704,0.22086700900579817,0.2309486615901717,0.21990450545439377,0.22126889324614418,0.21766493595981862,0.21651249397995803,0.2157316504371986,0.2150878240104585,0.21369833049715023,0.2134125150817893,0.21261294845076156,0.21227083024000307,0.2119578378116952,0.2501431744796146,0.21430778284799362,0.21631977744849432,0.2184555131803505,0.2195909930113674,0.22652558228529207,0.23328018878324536,0.24812842225358012
