trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
13,0.4732013400417822,0.42505977638307485,0.4046599981518848,0.37561177739283524,0.37209891406233697,0.3605073418543881,0.35753332227548923,0.3530724800950144,0.3452406486261344,0.33922048180048364,0.32923741304922344,0.34187278958158174,0.36406531137801734,0.3270808623082524,0.35820299222554786,0.39800432621836224,0.42057967090965215,0.4196636949295735,0.43485176797097647,0.43423343683272675,0.4390537358736528,0.4604542346155675
32,0.4585848938701775,0.48829293792579526,0.434713321187819,0.42917877502679885,0.4185348623736498,0.4296371392158277,0.4198577170299794,0.4249075478115097,0.42789701180276457,0.4249069997692436,0.4230700897121889,0.4173301319564741,0.42116587102559744,0.42329831865818546,0.42932278622451897,0.4308358740376188,0.4340551866751506,0.4384358710158832,0.4577935432294927,0.4552973741149446,0.4670333571560137,0.49654831446330394
95,0.45008992199246406,0.4202637983641247,0.40185514664854316,0.3986625186385732,0.41019871002513547,0.4112843249855183,0.41102786373613687,0.40096178719661335,0.394044398650367,0.3994542131147492,0.3899795052259572,0.3839119444266181,0.3935179648083246,0.37612346516902523,0.3905110541512346,0.3936286393786552,0.3821193427569541,0.3889682174539439,0.3921055622682911,0.38309449330893114,0.3882660749200947,0.38659777570050935
155,0.43757484918776945,0.4161583260721651,0.40082784508502983,0.414405008523429,0.411596138552507,0.39542624710873914,0.3860585609686121,0.3994857975977544,0.40246914653395965,0.3643458130819863,0.3659261474037695,0.3739886279023177,0.36029941355828854,0.36716322869728657,0.3942576901847984,0.40710415514415366,0.4008915188432638,0.41190999271246015,0.4131694995505089,0.411074114591292,0.4243601547678311,0.38659777570050935
