trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12
7,0.18627139704716503,0.15780626295231273,0.1256598906758193,0.10953038919884789,0.09824456931004162,0.10550082106491873,0.1461960062928698,0.18653817414980078,0.23403940303739967,0.2733719008508424,0.3197968723129872,0.3665574497010552,0.38312229934899894,0.46150509089191677,0.4939274780900879,0.20495573281594667,0.21039971872232066
22,0.17915511352345195,0.1449483277989212,0.13728307876915222,0.1368489711294462,0.12761901447266216,0.1216512212482287,0.11950330582262482,0.12727043570562194,0.20203622451507425,0.2234895999224336,0.2474180703007324,0.2739689480090054,0.28714586934833014,0.3274428980095551,0.347703143330019,0.20669419493894498,0.21138324955250934
67,0.17203882999973888,0.13851884875788723,0.21861589722121474,0.2049812599576924,0.18947269538671016,0.18059778216232938,0.1752434023150117,0.16964276299176428,0.17003304599274885,0.1736072989940248,0.1750392682884776,0.18138044631695563,0.19116943934766134,0.19338070512719346,0.2014788085699501,0.20843265706194325,0.21236678038269804
126,0.1649225464760258,0.13208936971685328,0.20844744390550562,0.20158335690954796,0.1944259822220235,0.18936330422594258,0.18231237773091666,0.1791631777455221,0.17510309405824231,0.17385951024046578,0.17216163010404337,0.2822513728329773,0.32633726511978906,0.3436540916086407,0.20321727069294837,0.20941618789213196,0.21236678038269804
