trading_days_to_expiration,-1,0,1,2,3,4
26,0.317676766592244,0.31135360559518854,0.31297498485625075,0.31850183056356124,0.32879628146481354,0.34146469791383366
45,0.3124763603627586,0.31088294040412223,0.3099226929826546,0.30807410239887784,0.3088909770810962,0.3128945130521932
88,0.3248531221880395,0.32218496791143286,0.32041771318210277,0.3204079533135631,0.3193415366375841,0.3193590760366924
151,0.32291127203633574,0.3271576191904033,0.3228553745921219,0.3222657256804201,0.3231377142535422,0.32266950220631696
