trading_days_to_expiration,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11,0.42245699611840287,0.3672402011346163,0.33742958277839064,0.31619529825219034,0.3095932460228674,0.3091634830265522,0.307136655591721,0.3055098606306015,0.309416142180317,0.32330481678596246,0.33116535277869213,0.3467219704184128,0.3626361947150193,0.3951899632345078,0.3019683567317228,0.3049673992911443,0.30430818564349477,0.3089163028255593,0.3097652558578321,0.3144527680723244,0.3190198815995833,0.32501247888728113,0.3409151167423319,0.3438763553328894,0.34686333754258564,0.35118302353782077,0.3567039934262076,0.361209498602294,0.36726392574846606,0.37290882818395765,0.3767688475505786,0.38639046139141353,0.4066341168050691,0.4246180211762612
28,0.3536208914658331,0.3401082858599268,0.3272202791163435,0.31952701124621635,0.3203998896558108,0.31215819647913046,0.3120527549048789,0.31375511098410913,0.3140308057367544,0.31865803978353074,0.3179342288090057,0.32464917894494627,0.32818902625344476,0.3388206347194733,0.3074492764624872,0.3125346718446846,0.31166607775650107,0.3162010429090111,0.31580148737453534,0.32130485236796463,0.3268133079576411,0.33341269416492775,0.3404662203922107,0.3458058709782894,0.3464273130020338,0.3537788910759902,0.35686861083223165,0.3632976337843131,0.36820300413953294,0.37479220101063654,0.37681548440721013,0.39115463145519946,0.41199177444811097,0.4282523157188154
52,0.3581606613554275,0.320956499129219,0.31430418536245275,0.3078899007577333,0.3051506520919816,0.30458245055649746,0.305101150317277,0.30478287387223285,0.3054863565298254,0.30947259034666275,0.3070275963098246,0.31159485891614525,0.3100591164457368,0.31396306583383915,0.3129301961932517,0.3201019443982248,0.3190239698695074,0.3234857829924628,0.3218377188912386,0.3281569366636049,0.3346067343156989,0.3418129094425743,0.3400173240420895,0.34773538662368936,0.3459912884614819,0.3563747586141596,0.3570332282382557,0.3653857689663323,0.3691420825305998,0.3766755738373154,0.3768621212638417,0.3959188015189854,0.4173494320911528,0.43188661026136954
116,0.3627004312450219,0.30837844268970205,0.30380472197004327,0.29907583417285555,0.29644016461569483,0.29618965366269007,0.2932520264575832,0.2936396082783794,0.29475884815910003,0.2930751007240165,0.2951387738210514,0.29477810458423465,0.296022063683652,0.2964874370009583,0.2974001267376041,0.29695029353048846,0.3016315627421076,0.30372902434112886,0.30760068377668415,0.3112264552415255,0.31661226360963457,0.3413640130924531,0.34194683968748946,0.3472993620831375,0.34858715599965134,0.35653937602018365,0.35912136342027484,0.3663248473573992,0.3710254553572787,0.376722210693947,0.38162629132762765,0.40127645916202725,0.420983726633707,0.43188661026136954
